Orthogroup	HF920633	OQ475017
OG0000000	HF920633.1_00044 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	HF920633.1_00069 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000002	HF920633.1_00127 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000003	HF920633.1_00043 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	HF920633.1_00122 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	HF920633.1_00097 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000006	HF920633.1_00073 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000007	HF920633.1_00001 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000008	HF920633.1_00080 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000009	HF920633.1_00158 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000010	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	HF920633.1_00067 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000012	HF920633.1_00118 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000013	HF920633.1_00163 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	HF920633.1_00091 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	HF920633.1_00003 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000016	HF920633.1_00138 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000017	HF920633.1_00058 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000018	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	HF920633.1_00025 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000020	HF920633.1_00094 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000021	HF920633.1_00085 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000022	HF920633.1_00079 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000023	HF920633.1_00017 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000025	HF920633.1_00047 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
