Orthogroup	MK098187.1	LS484712.1
OG0000000	MK098187.1_00033	LS484712.1_00114
OG0000001	MK098187.1_00007	LS484712.1_00142
OG0000003	MK098187.1_00008	LS484712.1_00095
OG0000004	MK098187.1_00015	LS484712.1_00187
OG0000005	MK098187.1_00032	LS484712.1_00248
OG0000006	MK098187.1_00076	LS484712.1_00040
OG0000007	MK098187.1_00090	LS484712.1_00234, LS484712.1_00050
OG0000009	MK098187.1_00114	LS484712.1_00130
OG0000010	MK098187.1_00005	LS484712.1_00096
OG0000011	MK098187.1_00022	LS484712.1_00200
OG0000012	MK098187.1_00034	LS484712.1_00188
OG0000013	MK098187.1_00036	LS484712.1_00240
OG0000014	MK098187.1_00038	LS484712.1_00194
OG0000015	MK098187.1_00058	LS484712.1_00143
OG0000016	MK098187.1_00064	LS484712.1_00203
OG0000017	MK098187.1_00086	LS484712.1_00192
OG0000018	MK098187.1_00087	LS484712.1_00048
OG0000019	MK098187.1_00107	LS484712.1_00053
OG0000020	MK098187.1_00122	LS484712.1_00202
OG0000021	MK098187.1_00123	LS484712.1_00135
OG0000022	MK098187.1_00047	LS484712.1_00117
OG0000068	MK098187.1_00068	LS484712.1_00002
