Orthogroup	ON743042.1	AF303741.1
OG0000000	ON743042.1_00031	AF303741.1_00079, AF303741.1_00152
OG0000001	ON743042.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	ON743042.1_00007	AF303741.1_00125
OG0000003	ON743042.1_00015	AF303741.1_00035
OG0000004	ON743042.1_00113	AF303741.1_00080
OG0000005	ON743042.1_00096	AF303741.1_00129
OG0000006	ON743042.1_00077	AF303741.1_00132
OG0000007	ON743042.1_00091	AF303741.1_00149
OG0000008	ON743042.1_00030	AF303741.1_00165
OG0000009	ON743042.1_00115	AF303741.1_00176
OG0000011	ON743042.1_00065	AF303741.1_00006
OG0000012	ON743042.1_00022	AF303741.1_00011
OG0000013	ON743042.1_00059	AF303741.1_00023
OG0000014	ON743042.1_00123	AF303741.1_00026
OG0000015	ON743042.1_00124	AF303741.1_00046
OG0000016	ON743042.1_00088	AF303741.1_00062
OG0000017	ON743042.1_00034	AF303741.1_00063
OG0000018	ON743042.1_00108	AF303741.1_00081
OG0000019	ON743042.1_00087	AF303741.1_00137
OG0000020	ON743042.1_00032	AF303741.1_00156
OG0000021	ON743042.1_00005	AF303741.1_00158
OG0000022	ON743042.1_00036	AF303741.1_00189
OG0000023	ON743042.1_00046	AF303741.1_00154
OG0000024	ON743042.1_00027	AF303741.1_00168
OG0000025	ON743042.1_00066	AF303741.1_00051
