Orthogroup	NC_027778.1	KF938901.1
OG0000000	NC_027778.1_00083	KF938901.1_00126
OG0000001	NC_027778.1_00062	KF938901.1_00080
OG0000002	NC_027778.1_00061	KF938901.1_00044
OG0000003	NC_027778.1_00068	KF938901.1_00005
OG0000004	NC_027778.1_00040	KF938901.1_00043
OG0000005	NC_027778.1_00036	KF938901.1_00125
OG0000006	NC_027778.1_00098	KF938901.1_00072
OG0000007	NC_027778.1_00032	KF938901.1_00053
OG0000008	NC_027778.1_00080	KF938901.1_00067
OG0000009	NC_027778.1_00039	KF938901.1_00114
OG0000011	NC_027778.1_00111	KF938901.1_00092
OG0000012	NC_027778.1_00077	KF938901.1_00054
OG0000013	NC_027778.1_00018	KF938901.1_00060
OG0000014	NC_027778.1_00038	KF938901.1_00074
OG0000015	NC_027778.1_00116	KF938901.1_00095
OG0000016	NC_027778.1_00027	KF938901.1_00046
OG0000017	NC_027778.1_00132	KF938901.1_00123
OG0000018	NC_027778.1_00043	KF938901.1_00025
OG0000019	NC_027778.1_00026	KF938901.1_00012
OG0000020	NC_027778.1_00133	KF938901.1_00047
OG0000021	NC_027778.1_00106	KF938901.1_00124
OG0000022	NC_027778.1_00129	KF938901.1_00023
OG0000023	NC_027778.1_00003	KF938901.1_00031
OG0000024	NC_027778.1_00054	KF938901.1_00094
OG0000025	NC_027778.1_00094, NC_027778.1_00095	KF938901.1_00093
OG0000139	NC_027778.1_00049	KF938901.1_00108
