Orthogroup	GQ273492	MN562489
OG0000000	GQ273492.1_00030 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	GQ273492.1_00008 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	GQ273492.1_00110 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	GQ273492.1_00005 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000006	GQ273492.1_00007 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000007	GQ273492.1_00022 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000008	GQ273492.1_00031 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000009	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	OM037668.1_00124 hypothetical protein
OG0000010	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000011	GQ273492.1_00056 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000012	GQ273492.1_00063 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000013	GQ273492.1_00083 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000014	GQ273492.1_00087 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000015	GQ273492.1_00103 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000016	GQ273492.1_00118 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000017	GQ273492.1_00119 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000018	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000019	GQ273492.1_00073 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000020	GQ273492.1_00084 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000021	GQ273492.1_00092 hypothetical protein	OM037668.1_00080 hypothetical protein
