Orthogroup	NC_027778.1	OL774653.1
OG0000000	NC_027778.1_00083	OL774653.1_00051
OG0000001	NC_027778.1_00062	OL774653.1_00026
OG0000002	NC_027778.1_00061	OL774653.1_00025
OG0000003	NC_027778.1_00068	OL774653.1_00032
OG0000004	NC_027778.1_00040	OL774653.1_00006
OG0000005	NC_027778.1_00036	OL774653.1_00114
OG0000006	NC_027778.1_00098	OL774653.1_00094
OG0000007	NC_027778.1_00032	OL774653.1_00108
OG0000008	NC_027778.1_00080	OL774653.1_00050
OG0000009	NC_027778.1_00039	OL774653.1_00008
OG0000010	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	OL774653.1_00095
OG0000011	NC_027778.1_00111	OL774653.1_00082
OG0000012	NC_027778.1_00077	OL774653.1_00039
OG0000013	NC_027778.1_00018	OL774653.1_00076
OG0000014	NC_027778.1_00038	OL774653.1_00016
OG0000015	NC_027778.1_00116	OL774653.1_00017
OG0000016	NC_027778.1_00027	OL774653.1_00105
OG0000017	NC_027778.1_00132	OL774653.1_00054
OG0000018	NC_027778.1_00043	OL774653.1_00001
OG0000019	NC_027778.1_00026	OL774653.1_00104
OG0000020	NC_027778.1_00133	OL774653.1_00052
OG0000021	NC_027778.1_00106	OL774653.1_00023
OG0000022	NC_027778.1_00129	OL774653.1_00056
OG0000023	NC_027778.1_00003	OL774653.1_00065
OG0000024	NC_027778.1_00054	OL774653.1_00047
OG0000025	NC_027778.1_00094, NC_027778.1_00095	OL774653.1_00083
OG0000026	NC_027778.1_00042	OL774653.1_00004
OG0000027	NC_027778.1_00029	OL774653.1_00106
OG0000028	NC_027778.1_00006	OL774653.1_00068
OG0000029	NC_027778.1_00021	OL774653.1_00080
OG0000030	NC_027778.1_00088	OL774653.1_00019
OG0000031	NC_027778.1_00108	OL774653.1_00024
OG0000032	NC_027778.1_00100	OL774653.1_00099
OG0000033	NC_027778.1_00030	OL774653.1_00107
OG0000034	NC_027778.1_00090	OL774653.1_00018
OG0000035	NC_027778.1_00067	OL774653.1_00030
OG0000036	NC_027778.1_00115	OL774653.1_00031
OG0000037	NC_027778.1_00072	OL774653.1_00036
OG0000038	NC_027778.1_00073	OL774653.1_00037
OG0000039	NC_027778.1_00078	OL774653.1_00040
OG0000040	NC_027778.1_00070	OL774653.1_00041
OG0000041	NC_027778.1_00117	OL774653.1_00053
OG0000042	NC_027778.1_00134	OL774653.1_00057
OG0000043	NC_027778.1_00010	OL774653.1_00069
OG0000044	NC_027778.1_00011	OL774653.1_00070
OG0000045	NC_027778.1_00016	OL774653.1_00074
OG0000046	NC_027778.1_00017	OL774653.1_00075
OG0000047	NC_027778.1_00019	OL774653.1_00077
OG0000048	NC_027778.1_00031	OL774653.1_00078
OG0000049	NC_027778.1_00020	OL774653.1_00079
OG0000050	NC_027778.1_00099	OL774653.1_00096
OG0000051	NC_027778.1_00101	OL774653.1_00100
OG0000052	NC_027778.1_00126	OL774653.1_00101
OG0000053	NC_027778.1_00035	OL774653.1_00113
OG0000054	NC_027778.1_00086	OL774653.1_00115
OG0000055	NC_027778.1_00085	OL774653.1_00118
OG0000056	NC_027778.1_00041	OL774653.1_00005
OG0000057	NC_027778.1_00037	OL774653.1_00010
OG0000058	NC_027778.1_00121	OL774653.1_00012
OG0000059	NC_027778.1_00087	OL774653.1_00020
OG0000060	NC_027778.1_00064	OL774653.1_00028
OG0000061	NC_027778.1_00071	OL774653.1_00035
OG0000062	NC_027778.1_00033	OL774653.1_00109
OG0000096	NC_027778.1_00025	OL774653.1_00014
OG0000114	NC_027778.1_00076	OL774653.1_00038
