Orthogroup	HF920637.1	MN562489.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MN562489.1_00102
OG0000001	HF920637.1_00143	MN562489.1_00080
OG0000003	HF920637.1_00059	MN562489.1_00081
OG0000004	HF920637.1_00159	MN562489.1_00087
OG0000005	HF920637.1_00176, HF920637.1_00175	MN562489.1_00099
OG0000006	HF920637.1_00121	MN562489.1_00116
OG0000007	HF920637.1_00172	MN562489.1_00052
OG0000008	HF920637.1_00025	MN562489.1_00060
OG0000009	HF920637.1_00153	MN562489.1_00059
OG0000010	HF920637.1_00041	MN562489.1_00124
OG0000011	HF920637.1_00001	MN562489.1_00096
OG0000012	HF920637.1_00031	MN562489.1_00012
OG0000013	HF920637.1_00073	MN562489.1_00011
OG0000014	HF920637.1_00213	MN562489.1_00008
OG0000015	HF920637.1_00017	MN562489.1_00038
OG0000016	HF920637.1_00217	MN562489.1_00128
OG0000017	HF920637.1_00197	MN562489.1_00046
OG0000018	HF920637.1_00079	MN562489.1_00047
OG0000019	HF920637.1_00111	MN562489.1_00063
OG0000020	HF920637.1_00108	MN562489.1_00058
OG0000021	HF920637.1_00152	MN562489.1_00133
OG0000022	HF920637.1_00033	MN562489.1_00023
OG0000023	HF920637.1_00221	MN562489.1_00056
OG0000024	HF920637.1_00203	MN562489.1_00062
OG0000025	HF920637.1_00156	MN562489.1_00113
OG0000028	HF920637.1_00127	MN562489.1_00126
OG0000149	HF920637.1_00123	MN562489.1_00069
OG0000187	HF920637.1_00013	MN562489.1_00115
