Orthogroup	OK042108.1	MK689686.1
OG0000000	OK042108.1_00047	MK689686.1_00029
OG0000001	OK042108.1_00068	MK689686.1_00008
OG0000002	OK042108.1_00069	MK689686.1_00007
OG0000003	OK042108.1_00062	MK689686.1_00014
OG0000004	OK042108.1_00087	MK689686.1_00110
OG0000005	OK042108.1_00104	MK689686.1_00093
OG0000006	OK042108.1_00001	MK689686.1_00074
OG0000007	OK042108.1_00109	MK689686.1_00088
OG0000008	OK042108.1_00048	MK689686.1_00028
OG0000009	OK042108.1_00085	MK689686.1_00112
OG0000010	OK042108.1_00122	MK689686.1_00075
OG0000011	OK042108.1_00013	MK689686.1_00062
OG0000012	OK042108.1_00055	MK689686.1_00021
OG0000013	OK042108.1_00020	MK689686.1_00056
OG0000014	OK042108.1_00077	MK689686.1_00120
OG0000015	OK042108.1_00076	MK689686.1_00121
OG0000016	OK042108.1_00112	MK689686.1_00085
OG0000017	OK042108.1_00044	MK689686.1_00032
OG0000018	OK042108.1_00092	MK689686.1_00105
OG0000019	OK042108.1_00113	MK689686.1_00084
OG0000020	OK042108.1_00046	MK689686.1_00030
OG0000021	OK042108.1_00070	MK689686.1_00005
OG0000022	OK042108.1_00042	MK689686.1_00034
OG0000023	OK042108.1_00033	MK689686.1_00043
OG0000024	OK042108.1_00050	MK689686.1_00025
OG0000025	OK042108.1_00012	MK689686.1_00063
OG0000026	OK042108.1_00089	MK689686.1_00108
OG0000027	OK042108.1_00111	MK689686.1_00086
OG0000028	OK042108.1_00030	MK689686.1_00046
OG0000029	OK042108.1_00015	MK689686.1_00060
OG0000030	OK042108.1_00074	MK689686.1_00001
OG0000032	OK042108.1_00118	MK689686.1_00079
OG0000033	OK042108.1_00110	MK689686.1_00087
OG0000034	OK042108.1_00075	MK689686.1_00122
OG0000035	OK042108.1_00064	MK689686.1_00012
OG0000036	OK042108.1_00063	MK689686.1_00013
OG0000037	OK042108.1_00058	MK689686.1_00018
OG0000038	OK042108.1_00057	MK689686.1_00019
OG0000039	OK042108.1_00054	MK689686.1_00022
OG0000040	OK042108.1_00053	MK689686.1_00023
OG0000041	OK042108.1_00045	MK689686.1_00031
OG0000042	OK042108.1_00041	MK689686.1_00035
OG0000043	OK042108.1_00028	MK689686.1_00048
OG0000044	OK042108.1_00027	MK689686.1_00049
OG0000045	OK042108.1_00022	MK689686.1_00054
OG0000046	OK042108.1_00021	MK689686.1_00055
OG0000047	OK042108.1_00019	MK689686.1_00057
OG0000048	OK042108.1_00018	MK689686.1_00058
OG0000049	OK042108.1_00016	MK689686.1_00059
OG0000050	OK042108.1_00121	MK689686.1_00076
OG0000051	OK042108.1_00117	MK689686.1_00080
OG0000052	OK042108.1_00116	MK689686.1_00081
OG0000053	OK042108.1_00105	MK689686.1_00092
OG0000054	OK042108.1_00103	MK689686.1_00094
OG0000055	OK042108.1_00100	MK689686.1_00097
OG0000056	OK042108.1_00088	MK689686.1_00109
OG0000057	OK042108.1_00083	MK689686.1_00114
OG0000058	OK042108.1_00081	MK689686.1_00116
OG0000059	OK042108.1_00073	MK689686.1_00002
OG0000060	OK042108.1_00066	MK689686.1_00010
OG0000061	OK042108.1_00059	MK689686.1_00017
OG0000062	OK042108.1_00108	MK689686.1_00089
OG0000063	OK042108.1_00004	MK689686.1_00071
OG0000064	OK042108.1_00060	MK689686.1_00016
OG0000065	OK042108.1_00039	MK689686.1_00037
OG0000066	OK042108.1_00035	MK689686.1_00041
OG0000067	OK042108.1_00031	MK689686.1_00045
OG0000068	OK042108.1_00009	MK689686.1_00066
OG0000069	OK042108.1_00101	MK689686.1_00096
OG0000070	OK042108.1_00099	MK689686.1_00098
OG0000071	OK042108.1_00084	MK689686.1_00113
OG0000072	OK042108.1_00067	MK689686.1_00009
OG0000073	OK042108.1_00065	MK689686.1_00011
OG0000074	OK042108.1_00061	MK689686.1_00015
OG0000075	OK042108.1_00043	MK689686.1_00033
OG0000076	OK042108.1_00040	MK689686.1_00036
OG0000077	OK042108.1_00037	MK689686.1_00039
OG0000078	OK042108.1_00036	MK689686.1_00040
OG0000079	OK042108.1_00032	MK689686.1_00044
OG0000080	OK042108.1_00026	MK689686.1_00050
OG0000081	OK042108.1_00025	MK689686.1_00051
OG0000082	OK042108.1_00024	MK689686.1_00052
OG0000083	OK042108.1_00014	MK689686.1_00061
OG0000084	OK042108.1_00011	MK689686.1_00064
OG0000085	OK042108.1_00008	MK689686.1_00067
OG0000086	OK042108.1_00007	MK689686.1_00068
OG0000087	OK042108.1_00003	MK689686.1_00072
OG0000088	OK042108.1_00002	MK689686.1_00073
OG0000089	OK042108.1_00115	MK689686.1_00082
OG0000090	OK042108.1_00114	MK689686.1_00083
OG0000091	OK042108.1_00102	MK689686.1_00095
OG0000092	OK042108.1_00098	MK689686.1_00099
OG0000093	OK042108.1_00094	MK689686.1_00103
OG0000094	OK042108.1_00091	MK689686.1_00106
OG0000095	OK042108.1_00090	MK689686.1_00107
OG0000096	OK042108.1_00079	MK689686.1_00118
OG0000097	OK042108.1_00072	MK689686.1_00003
OG0000098	OK042108.1_00071	MK689686.1_00004
OG0000099	OK042108.1_00038	MK689686.1_00038
OG0000100	OK042108.1_00034	MK689686.1_00042
OG0000101	OK042108.1_00006	MK689686.1_00069
OG0000102	OK042108.1_00120	MK689686.1_00077
OG0000103	OK042108.1_00097	MK689686.1_00100
OG0000104	OK042108.1_00093	MK689686.1_00104
OG0000105	OK042108.1_00082	MK689686.1_00115
OG0000107	OK042108.1_00096	MK689686.1_00101
OG0000108	OK042108.1_00078	MK689686.1_00119
OG0000109	OK042108.1_00005	MK689686.1_00070
OG0000110	OK042108.1_00080	MK689686.1_00117
OG0000111	OK042108.1_00106	MK689686.1_00091
OG0000112	OK042108.1_00119	MK689686.1_00078
OG0000116	OK042108.1_00023	MK689686.1_00053
OG0000117	OK042108.1_00010	MK689686.1_00065
OG0000120	OK042108.1_00095	MK689686.1_00102
OG0000121	OK042108.1_00086	MK689686.1_00111
OG0000130	OK042108.1_00029	MK689686.1_00047
