locus_tag	ftype	length_bp	gene	EC_number	COG	product
OL310752_00001	CDS	2931				hypothetical protein
OL310752_00002	CDS	1608				hypothetical protein
OL310752_00003	CDS	534				hypothetical protein
OL310752_00004	CDS	2844				hypothetical protein
OL310752_00005	CDS	210				hypothetical protein
OL310752_00006	CDS	333				hypothetical protein
OL310752_00007	CDS	588				hypothetical protein
OL310752_00008	CDS	630				hypothetical protein
OL310752_00009	CDS	195				hypothetical protein
OL310752_00010	CDS	732				hypothetical protein
OL310752_00011	CDS	294				hypothetical protein
OL310752_00012	CDS	1398				hypothetical protein
OL310752_00013	CDS	333				hypothetical protein
OL310752_00014	CDS	261				hypothetical protein
OL310752_00015	CDS	393				hypothetical protein
OL310752_00016	CDS	219				hypothetical protein
OL310752_00017	CDS	1548				hypothetical protein
OL310752_00018	CDS	1458				hypothetical protein
OL310752_00019	CDS	1362	MCP			Major capsid protein
OL310752_00020	CDS	306				hypothetical protein
OL310752_00021	CDS	570				hypothetical protein
OL310752_00022	CDS	261				hypothetical protein
OL310752_00023	CDS	513				hypothetical protein
OL310752_00024	CDS	804				hypothetical protein
OL310752_00025	CDS	3762				hypothetical protein
OL310752_00026	CDS	369				hypothetical protein
OL310752_00027	CDS	2649				hypothetical protein
OL310752_00028	CDS	1473				hypothetical protein
OL310752_00029	CDS	189				hypothetical protein
OL310752_00030	CDS	216				hypothetical protein
OL310752_00031	CDS	918				hypothetical protein
OL310752_00032	CDS	237				hypothetical protein
OL310752_00033	CDS	222				hypothetical protein
OL310752_00034	CDS	324				hypothetical protein
OL310752_00035	CDS	492				hypothetical protein
OL310752_00036	CDS	738				hypothetical protein
OL310752_00037	CDS	1164				hypothetical protein
OL310752_00038	CDS	501				hypothetical protein
OL310752_00039	CDS	339				hypothetical protein
OL310752_00040	CDS	183				hypothetical protein
OL310752_00041	CDS	171				hypothetical protein
OL310752_00042	CDS	1011				hypothetical protein
OL310752_00043	CDS	1572				hypothetical protein
OL310752_00044	CDS	414				hypothetical protein
OL310752_00045	CDS	771				hypothetical protein
OL310752_00046	CDS	468				hypothetical protein
OL310752_00047	CDS	534				hypothetical protein
OL310752_00048	CDS	1305				hypothetical protein
OL310752_00049	CDS	360				hypothetical protein
OL310752_00050	CDS	1029				hypothetical protein
OL310752_00051	CDS	801				hypothetical protein
OL310752_00052	CDS	363				hypothetical protein
OL310752_00053	CDS	600				hypothetical protein
OL310752_00054	CDS	1293				hypothetical protein
OL310752_00055	CDS	1149				hypothetical protein
OL310752_00056	CDS	879				hypothetical protein
OL310752_00057	CDS	1440				hypothetical protein
OL310752_00058	CDS	1350				hypothetical protein
OL310752_00059	CDS	1026				hypothetical protein
OL310752_00060	CDS	2514				hypothetical protein
OL310752_00061	CDS	504				hypothetical protein
OL310752_00062	CDS	744				hypothetical protein
OL310752_00063	CDS	690				hypothetical protein
OL310752_00064	CDS	156				hypothetical protein
OL310752_00065	CDS	2775				hypothetical protein
OL310752_00066	CDS	672				hypothetical protein
OL310752_00067	CDS	1314				hypothetical protein
OL310752_00068	CDS	288				hypothetical protein
OL310752_00069	CDS	507				hypothetical protein
OL310752_00070	CDS	528				hypothetical protein
OL310752_00071	CDS	720				hypothetical protein
OL310752_00072	CDS	381				hypothetical protein
OL310752_00073	CDS	825				hypothetical protein
OL310752_00074	CDS	1077				hypothetical protein
OL310752_00075	CDS	468				hypothetical protein
OL310752_00076	CDS	306				hypothetical protein
OL310752_00077	CDS	843				hypothetical protein
OL310752_00078	CDS	2973				hypothetical protein
OL310752_00079	CDS	1020				hypothetical protein
OL310752_00080	CDS	420				hypothetical protein
OL310752_00081	CDS	1407				hypothetical protein
OL310752_00082	CDS	960				hypothetical protein
OL310752_00083	CDS	3159	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
OL310752_00084	CDS	903				hypothetical protein
OL310752_00085	CDS	582				hypothetical protein
OL310752_00086	CDS	435				hypothetical protein
OL310752_00087	CDS	684				hypothetical protein
OL310752_00088	CDS	264				hypothetical protein
OL310752_00089	CDS	354				hypothetical protein
OL310752_00090	CDS	171				hypothetical protein
OL310752_00091	CDS	429				hypothetical protein
OL310752_00092	CDS	453				hypothetical protein
OL310752_00093	CDS	216				hypothetical protein
OL310752_00094	CDS	945				hypothetical protein
OL310752_00095	CDS	942				hypothetical protein
OL310752_00096	CDS	411				hypothetical protein
OL310752_00097	CDS	456				hypothetical protein
OL310752_00098	CDS	873				hypothetical protein
OL310752_00099	CDS	582				hypothetical protein
OL310752_00100	CDS	1434				hypothetical protein
OL310752_00101	CDS	732				hypothetical protein
OL310752_00102	CDS	477				hypothetical protein
OL310752_00103	CDS	429				hypothetical protein
OL310752_00104	CDS	642		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
OL310752_00105	CDS	228				hypothetical protein
OL310752_00106	CDS	279				hypothetical protein
OL310752_00107	CDS	897				hypothetical protein
OL310752_00108	CDS	1362				hypothetical protein
OL310752_00109	CDS	639				hypothetical protein
OL310752_00110	CDS	321				hypothetical protein
OL310752_00111	CDS	1446				hypothetical protein
OL310752_00112	CDS	516				hypothetical protein
OL310752_00113	CDS	2151	RPO1	2.7.7.6		DNA-directed RNA polymerase subunit 1
OL310752_00114	CDS	204				hypothetical protein
OL310752_00115	CDS	384				hypothetical protein
OL310752_00116	CDS	1011				hypothetical protein
OL310752_00117	CDS	507				hypothetical protein
OL310752_00118	CDS	903				hypothetical protein
OL310752_00119	CDS	675				hypothetical protein
OL310752_00120	CDS	657				hypothetical protein
OL310752_00121	CDS	465				hypothetical protein
OL310752_00122	CDS	177				hypothetical protein
OL310752_00123	CDS	660				hypothetical protein
OL310752_00124	CDS	498				hypothetical protein
