Orthogroup	MN803438	KF938901
OG0000000	MN803438.1_00124 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	MN803438.1_00101 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000002	MN803438.1_00113 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	MN803438.1_00089 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000005	MN803438.1_00023 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000006	MN803438.1_00128 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000007	MN803438.1_00068 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000008	MN803438.1_00035 hypothetical protein	KF938901.1_00123 hypothetical protein
OG0000009	MN803438.1_00013 hypothetical protein	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000010	MN803438.1_00007 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000011	MN803438.1_00049 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000012	MN803438.1_00097 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000013	MN803438.1_00027 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000014	MN803438.1_00051 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000015	MN803438.1_00070 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000016	MN803438.1_00046 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000017	MN803438.1_00024 hypothetical protein	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000018	MN803438.1_00142 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000019	MN803438.1_00122 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000020	MN803438.1_00071 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000021	MN803438.1_00104 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000023	MN803438.1_00109 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000132	MN803438.1_00115 hypothetical protein	KF938901.1_00086 hypothetical protein
OG0000134	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit
OG0000135	MN803438.1_00137 hypothetical protein	KF938901.1_00065 hypothetical protein
OG0000136	MN803438.1_00005 Thymidylate synthase	KF938901.1_00108 Thymidylate synthase
OG0000141	MN803438.1_00006 hypothetical protein	KF938901.1_00007 hypothetical protein
OG0000148	MN803438.1_00135 hypothetical protein	KF938901.1_00106 hypothetical protein
OG0000152	MN803438.1_00003 hypothetical protein	KF938901.1_00027 hypothetical protein
OG0000170	MN803438.1_00028 hypothetical protein	KF938901.1_00017 hypothetical protein
OG0000172	MN803438.1_00092 hypothetical protein	KF938901.1_00009 hypothetical protein
OG0000200	MN803438.1_00045 hypothetical protein	KF938901.1_00137 hypothetical protein
