Orthogroup	MCV_ML1_SDDV_MT521409.1	Irido_IIV6_AF303741.1
OG0000000	MCV_ML1_SDDV_MT521409.1_00103	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_ML1_SDDV_MT521409.1_00081	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_ML1_SDDV_MT521409.1_00082	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_ML1_SDDV_MT521409.1_00088	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_ML1_SDDV_MT521409.1_00061	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_ML1_SDDV_MT521409.1_00053	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_ML1_SDDV_MT521409.1_00100	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_ML1_SDDV_MT521409.1_00117	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_ML1_SDDV_MT521409.1_00060	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_ML1_SDDV_MT521409.1_00057	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_ML1_SDDV_MT521409.1_00047	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_ML1_SDDV_MT521409.1_00008	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_ML1_SDDV_MT521409.1_00064	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_ML1_SDDV_MT521409.1_00048	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_ML1_SDDV_MT521409.1_00012	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_ML1_SDDV_MT521409.1_00097	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_ML1_SDDV_MT521409.1_00039	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_ML1_SDDV_MT521409.1_00059	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_ML1_SDDV_MT521409.1_00129	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_ML1_SDDV_MT521409.1_00134	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_ML1_SDDV_MT521409.1_00011	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_ML1_SDDV_MT521409.1_00125	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_ML1_SDDV_MT521409.1_00024	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_ML1_SDDV_MT521409.1_00074	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_ML1_SDDV_MT521409.1_00114	Irido_IIV6_AF303741.1_00051
OG0000139	MCV_ML1_SDDV_MT521409.1_00070	Irido_IIV6_AF303741.1_00101
OG0000178	MCV_ML1_SDDV_MT521409.1_00115	Irido_IIV6_AF303741.1_00117
OG0000179	MCV_ML1_SDDV_MT521409.1_00116	Irido_IIV6_AF303741.1_00009
