Orthogroup	MN803438.1	NC_005946.1
OG0000000	MN803438.1_00124	NC_005946.1_00010
OG0000001	MN803438.1_00101, MN803438.1_00056	NC_005946.1_00053
OG0000002	MN803438.1_00023	NC_005946.1_00091
OG0000003	MN803438.1_00113	NC_005946.1_00057
OG0000004	MN803438.1_00104	NC_005946.1_00028
OG0000005	MN803438.1_00071	NC_005946.1_00014
OG0000006	MN803438.1_00142	NC_005946.1_00042
OG0000007	MN803438.1_00027	NC_005946.1_00002
OG0000008	MN803438.1_00106	NC_005946.1_00095
OG0000009	MN803438.1_00109	NC_005946.1_00092
OG0000011	MN803438.1_00049	NC_005946.1_00011
OG0000012	MN803438.1_00128	NC_005946.1_00060
OG0000013	MN803438.1_00007	NC_005946.1_00022
OG0000014	MN803438.1_00070	NC_005946.1_00016
OG0000015	MN803438.1_00046	NC_005946.1_00021
OG0000016	MN803438.1_00122	NC_005946.1_00082
OG0000017	MN803438.1_00035	NC_005946.1_00087
OG0000018	MN803438.1_00051	NC_005946.1_00023
OG0000019	MN803438.1_00097	NC_005946.1_00094
OG0000020	MN803438.1_00068	NC_005946.1_00083
OG0000021	MN803438.1_00089	NC_005946.1_00038
OG0000022	MN803438.1_00013	NC_005946.1_00061
OG0000023	MN803438.1_00077	NC_005946.1_00089
OG0000024	MN803438.1_00024	NC_005946.1_00067
OG0000026	MN803438.1_00126	NC_005946.1_00086
OG0000027	MN803438.1_00037	NC_005946.1_00049
OG0000028	MN803438.1_00054	NC_005946.1_00085
OG0000113	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125	NC_005946.1_00020
OG0000134	MN803438.1_00115	NC_005946.1_00001
OG0000135	MN803438.1_00006	NC_005946.1_00079
OG0000137	MN803438.1_00105	NC_005946.1_00039
OG0000151	MN803438.1_00010	NC_005946.1_00052
OG0000158	MN803438.1_00003	NC_005946.1_00044
OG0000160	MN803438.1_00078	NC_005946.1_00075
OG0000176	MN803438.1_00028	NC_005946.1_00026
OG0000177	MN803438.1_00030	NC_005946.1_00033
OG0000178	MN803438.1_00092	NC_005946.1_00029
OG0000206	MN803438.1_00044	NC_005946.1_00062
OG0000232	MN803438.1_00110	NC_005946.1_00051
OG0000234	MN803438.1_00008	NC_005946.1_00088
OG0000235	MN803438.1_00026	NC_005946.1_00096
OG0000236	MN803438.1_00136	NC_005946.1_00015
OG0000237	MN803438.1_00099	NC_005946.1_00073
