Orthogroup	MCV_Unclassified_MG570132.1	Rana_FV3_NC_005946.1
OG0000000	MCV_Unclassified_MG570132.1_00031	Rana_FV3_NC_005946.1_00010
OG0000001	MCV_Unclassified_MG570132.1_00008, MCV_Unclassified_MG570132.1_00007	Rana_FV3_NC_005946.1_00091
OG0000002	MCV_Unclassified_MG570132.1_00009	Rana_FV3_NC_005946.1_00053
OG0000003	MCV_Unclassified_MG570132.1_00016	Rana_FV3_NC_005946.1_00057
OG0000004	MCV_Unclassified_MG570132.1_00108	Rana_FV3_NC_005946.1_00028
OG0000005	MCV_Unclassified_MG570132.1_00087	Rana_FV3_NC_005946.1_00002
OG0000006	MCV_Unclassified_MG570132.1_00030	Rana_FV3_NC_005946.1_00095
OG0000007	MCV_Unclassified_MG570132.1_00073	Rana_FV3_NC_005946.1_00042
OG0000008	MCV_Unclassified_MG570132.1_00110	Rana_FV3_NC_005946.1_00092
OG0000009	MCV_Unclassified_MG570132.1_00092	Rana_FV3_NC_005946.1_00014
OG0000011	MCV_Unclassified_MG570132.1_00083	Rana_FV3_NC_005946.1_00094
OG0000012	MCV_Unclassified_MG570132.1_00036	Rana_FV3_NC_005946.1_00061
OG0000013	MCV_Unclassified_MG570132.1_00103	Rana_FV3_NC_005946.1_00023
OG0000014	MCV_Unclassified_MG570132.1_00084	Rana_FV3_NC_005946.1_00082
OG0000015	MCV_Unclassified_MG570132.1_00032	Rana_FV3_NC_005946.1_00083
OG0000016	MCV_Unclassified_MG570132.1_00023	Rana_FV3_NC_005946.1_00060
OG0000017	MCV_Unclassified_MG570132.1_00057	Rana_FV3_NC_005946.1_00022
OG0000018	MCV_Unclassified_MG570132.1_00118	Rana_FV3_NC_005946.1_00016
OG0000019	MCV_Unclassified_MG570132.1_00063	Rana_FV3_NC_005946.1_00011
OG0000020	MCV_Unclassified_MG570132.1_00119	Rana_FV3_NC_005946.1_00021
OG0000021	MCV_Unclassified_MG570132.1_00034	Rana_FV3_NC_005946.1_00087
OG0000022	MCV_Unclassified_MG570132.1_00005	Rana_FV3_NC_005946.1_00038
OG0000023	MCV_Unclassified_MG570132.1_00045	Rana_FV3_NC_005946.1_00089
OG0000024	MCV_Unclassified_MG570132.1_00028	Rana_FV3_NC_005946.1_00067
OG0000026	MCV_Unclassified_MG570132.1_00106	Rana_FV3_NC_005946.1_00086
OG0000027	MCV_Unclassified_MG570132.1_00085	Rana_FV3_NC_005946.1_00049
OG0000028	MCV_Unclassified_MG570132.1_00048	Rana_FV3_NC_005946.1_00085
OG0000112	MCV_Unclassified_MG570132.1_00077	Rana_FV3_NC_005946.1_00006
