locus_tag	ftype	length_bp	gene	EC_number	COG	product
AY521625.1_00001	CDS	915				hypothetical protein
AY521625.1_00002	CDS	1146				hypothetical protein
AY521625.1_00003	CDS	1098				hypothetical protein
AY521625.1_00004	CDS	1143				hypothetical protein
AY521625.1_00005	CDS	780				hypothetical protein
AY521625.1_00006	CDS	726				hypothetical protein
AY521625.1_00007	CDS	693				hypothetical protein
AY521625.1_00008	CDS	465				hypothetical protein
AY521625.1_00009	CDS	372				hypothetical protein
AY521625.1_00010	CDS	189				hypothetical protein
AY521625.1_00011	CDS	3075				hypothetical protein
AY521625.1_00012	CDS	426				hypothetical protein
AY521625.1_00013	CDS	180				hypothetical protein
AY521625.1_00014	CDS	1242				hypothetical protein
AY521625.1_00015	CDS	858				hypothetical protein
AY521625.1_00016	CDS	1029				hypothetical protein
AY521625.1_00017	CDS	954				hypothetical protein
AY521625.1_00018	CDS	420				hypothetical protein
AY521625.1_00019	CDS	498				hypothetical protein
AY521625.1_00020	CDS	456				hypothetical protein
AY521625.1_00021	CDS	120				hypothetical protein
AY521625.1_00022	CDS	1530				hypothetical protein
AY521625.1_00023	CDS	1686				hypothetical protein
AY521625.1_00024	CDS	1014				hypothetical protein
AY521625.1_00025	CDS	999				hypothetical protein
AY521625.1_00026	CDS	1026				hypothetical protein
AY521625.1_00027	CDS	1017				hypothetical protein
AY521625.1_00028	CDS	126				hypothetical protein
AY521625.1_00029	CDS	1056				hypothetical protein
AY521625.1_00030	CDS	1035				hypothetical protein
AY521625.1_00031	CDS	339				hypothetical protein
AY521625.1_00032	CDS	1122				hypothetical protein
AY521625.1_00033	CDS	990				hypothetical protein
AY521625.1_00034	CDS	1029				hypothetical protein
AY521625.1_00035	CDS	513				hypothetical protein
AY521625.1_00036	CDS	3156				hypothetical protein
AY521625.1_00037	CDS	432				hypothetical protein
AY521625.1_00038	CDS	228				hypothetical protein
AY521625.1_00039	CDS	2004				hypothetical protein
AY521625.1_00040	CDS	729				hypothetical protein
AY521625.1_00041	CDS	747				hypothetical protein
AY521625.1_00042	CDS	1155				hypothetical protein
AY521625.1_00043	CDS	276				hypothetical protein
AY521625.1_00044	CDS	468	DUT	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
AY521625.1_00045	CDS	663				hypothetical protein
AY521625.1_00046	CDS	696				hypothetical protein
AY521625.1_00047	CDS	2907				hypothetical protein
AY521625.1_00048	CDS	648				hypothetical protein
AY521625.1_00049	CDS	723				hypothetical protein
AY521625.1_00050	CDS	741				hypothetical protein
AY521625.1_00051	CDS	3507				hypothetical protein
AY521625.1_00052	CDS	441				hypothetical protein
AY521625.1_00053	CDS	2853				hypothetical protein
AY521625.1_00054	CDS	615				hypothetical protein
AY521625.1_00055	CDS	756				hypothetical protein
AY521625.1_00056	CDS	1719		1.17.4.1		Ribonucleoside-diphosphate reductase large subunit
AY521625.1_00057	CDS	243				hypothetical protein
AY521625.1_00058	CDS	195				hypothetical protein
AY521625.1_00059	CDS	576				hypothetical protein
AY521625.1_00060	CDS	771				hypothetical protein
AY521625.1_00061	CDS	1647				hypothetical protein
AY521625.1_00062	CDS	459				hypothetical protein
AY521625.1_00063	CDS	825				hypothetical protein
AY521625.1_00064	CDS	1392	MCP			Major capsid protein
AY521625.1_00065	CDS	3312	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
AY521625.1_00066	CDS	537				hypothetical protein
AY521625.1_00067	CDS	858				hypothetical protein
AY521625.1_00068	CDS	909				hypothetical protein
AY521625.1_00069	CDS	2373				hypothetical protein
AY521625.1_00070	CDS	564				hypothetical protein
AY521625.1_00071	CDS	669				hypothetical protein
AY521625.1_00072	CDS	1338				hypothetical protein
AY521625.1_00073	CDS	1128				hypothetical protein
AY521625.1_00074	CDS	279				hypothetical protein
AY521625.1_00075	CDS	465				hypothetical protein
AY521625.1_00076	CDS	648				hypothetical protein
AY521625.1_00077	CDS	1521				hypothetical protein
AY521625.1_00078	CDS	1173				hypothetical protein
AY521625.1_00079	CDS	1122				hypothetical protein
AY521625.1_00080	CDS	1137				hypothetical protein
AY521625.1_00081	CDS	1131				hypothetical protein
AY521625.1_00082	CDS	1218				hypothetical protein
AY521625.1_00083	CDS	462				hypothetical protein
AY521625.1_00084	CDS	471				hypothetical protein
AY521625.1_00085	CDS	1080				hypothetical protein
AY521625.1_00086	CDS	459				hypothetical protein
AY521625.1_00087	CDS	249				hypothetical protein
AY521625.1_00088	CDS	942				hypothetical protein
AY521625.1_00089	CDS	234	vUbi			viral Ubiquitin
AY521625.1_00090	CDS	294				hypothetical protein
AY521625.1_00091	CDS	3807				hypothetical protein
AY521625.1_00092	CDS	1146				hypothetical protein
AY521625.1_00093	CDS	180				hypothetical protein
AY521625.1_00094	CDS	768				hypothetical protein
AY521625.1_00095	CDS	1068				hypothetical protein
AY521625.1_00096	CDS	339				hypothetical protein
AY521625.1_00097	CDS	459				hypothetical protein
AY521625.1_00098	CDS	777				hypothetical protein
AY521625.1_00099	CDS	159				hypothetical protein
AY521625.1_00100	CDS	888				hypothetical protein
AY521625.1_00101	CDS	252				hypothetical protein
AY521625.1_00102	CDS	423				hypothetical protein
AY521625.1_00103	CDS	255				hypothetical protein
AY521625.1_00104	CDS	633				hypothetical protein
AY521625.1_00105	CDS	1089				hypothetical protein
AY521625.1_00106	CDS	537				hypothetical protein
AY521625.1_00107	CDS	555				hypothetical protein
AY521625.1_00108	CDS	558				hypothetical protein
AY521625.1_00109	CDS	522				hypothetical protein
AY521625.1_00110	CDS	3030				hypothetical protein
AY521625.1_00111	tRNA	73				tRNA-Ile(tat)
AY521625.1_00112	CDS	555				hypothetical protein
AY521625.1_00113	CDS	828				hypothetical protein
AY521625.1_00114	CDS	273				hypothetical protein
AY521625.1_00115	CDS	972				hypothetical protein
AY521625.1_00116	CDS	339				hypothetical protein
AY521625.1_00117	CDS	315				hypothetical protein
AY521625.1_00118	CDS	1386				hypothetical protein
AY521625.1_00119	CDS	195				hypothetical protein
AY521625.1_00120	CDS	312				hypothetical protein
AY521625.1_00121	CDS	915				hypothetical protein
AY521625.1_00122	CDS	1992				hypothetical protein
AY521625.1_00123	CDS	240				hypothetical protein
AY521625.1_00124	CDS	459				hypothetical protein
AY521625.1_00125	CDS	498				hypothetical protein
AY521625.1_00126	CDS	975				hypothetical protein
AY521625.1_00127	CDS	1035				hypothetical protein
AY521625.1_00128	CDS	480				hypothetical protein
AY521625.1_00129	CDS	378				hypothetical protein
AY521625.1_00130	CDS	1527				hypothetical protein
AY521625.1_00131	CDS	423				hypothetical protein
AY521625.1_00132	CDS	150				hypothetical protein
AY521625.1_00133	CDS	1239				hypothetical protein
AY521625.1_00134	CDS	294				hypothetical protein
AY521625.1_00135	CDS	1728				hypothetical protein
AY521625.1_00136	CDS	813				hypothetical protein
AY521625.1_00137	CDS	525				hypothetical protein
AY521625.1_00138	CDS	417				hypothetical protein
AY521625.1_00139	CDS	492				hypothetical protein
AY521625.1_00140	CDS	489				hypothetical protein
AY521625.1_00141	CDS	288				hypothetical protein
AY521625.1_00142	CDS	1113				hypothetical protein
