Orthogroup	HF920637	MG570132
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	MG570132.1_00031 hypothetical protein
OG0000001	HF920637.1_00159 HF920637.1 - hypothetical protein translation	MG570132.1_00016 hypothetical protein
OG0000002	HF920637.1_00059 HF920637.1 - hypothetical protein translation	MG570132.1_00009 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	MG570132.1_00030 hypothetical protein
OG0000004	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	MG570132.1_00110 hypothetical protein
OG0000005	HF920637.1_00217 HF920637.1 - hypothetical protein translation	MG570132.1_00063 hypothetical protein
OG0000006	HF920637.1_00001 HF920637.1 - hypothetical protein translation	MG570132.1_00023 hypothetical protein
OG0000007	HF920637.1_00017 HF920637.1 - hypothetical protein translation	MG570132.1_00057 hypothetical protein
OG0000008	HF920637.1_00108 HF920637.1 - hypothetical protein translation	MG570132.1_00118 hypothetical protein
OG0000009	HF920637.1_00152 HF920637.1 - hypothetical protein translation	MG570132.1_00119 hypothetical protein
OG0000010	HF920637.1_00073 HF920637.1 - hypothetical protein translation	MG570132.1_00034 hypothetical protein
OG0000011	HF920637.1_00111 HF920637.1 - hypothetical protein translation	MG570132.1_00103 hypothetical protein
OG0000012	HF920637.1_00143 HF920637.1 - Major capsid protein translation	MG570132.1_00008 Major capsid protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	MG570132.1_00083 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	MG570132.1_00087 hypothetical protein
OG0000015	HF920637.1_00031 HF920637.1 - hypothetical protein translation	MG570132.1_00032 hypothetical protein
OG0000016	HF920637.1_00041 HF920637.1 - hypothetical protein translation	MG570132.1_00005 hypothetical protein
OG0000017	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	MG570132.1_00036 DNA-directed RNA polymerase subunit 2
OG0000018	HF920637.1_00079 HF920637.1 - hypothetical protein translation	MG570132.1_00084 hypothetical protein
OG0000019	HF920637.1_00025 HF920637.1 - hypothetical protein translation	MG570132.1_00108 hypothetical protein
OG0000020	HF920637.1_00221 HF920637.1 - hypothetical protein translation	MG570132.1_00092 hypothetical protein
OG0000021	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain
OG0000022	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	MG570132.1_00045 hypothetical protein
OG0000023	HF920637.1_00121 HF920637.1 - hypothetical protein translation	MG570132.1_00073 hypothetical protein
OG0000026	HF920637.1_00156 HF920637.1 - hypothetical protein translation	MG570132.1_00064 hypothetical protein
