Orthogroup	MCV_MP1_RBIV_AY532606.1	Irido_IIV31_HF920637.1
OG0000000	MCV_MP1_RBIV_AY532606.1_00030	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	MCV_MP1_RBIV_AY532606.1_00006	Irido_IIV31_HF920637.1_00143
OG0000002	MCV_MP1_RBIV_AY532606.1_00007	Irido_IIV31_HF920637.1_00059
OG0000003	MCV_MP1_RBIV_AY532606.1_00014	Irido_IIV31_HF920637.1_00159
OG0000004	MCV_MP1_RBIV_AY532606.1_00116, MCV_MP1_RBIV_AY532606.1_00117	Irido_IIV31_HF920637.1_00025
OG0000005	MCV_MP1_RBIV_AY532606.1_00093	Irido_IIV31_HF920637.1_00172
OG0000006	MCV_MP1_RBIV_AY532606.1_00029	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	MCV_MP1_RBIV_AY532606.1_00078	Irido_IIV31_HF920637.1_00121
OG0000008	MCV_MP1_RBIV_AY532606.1_00120, MCV_MP1_RBIV_AY532606.1_00119	Irido_IIV31_HF920637.1_00153
OG0000009	MCV_MP1_RBIV_AY532606.1_00099, MCV_MP1_RBIV_AY532606.1_00098	Irido_IIV31_HF920637.1_00221
OG0000011	MCV_MP1_RBIV_AY532606.1_00088	Irido_IIV31_HF920637.1_00197
OG0000012	MCV_MP1_RBIV_AY532606.1_00035	Irido_IIV31_HF920637.1_00213
OG0000013	MCV_MP1_RBIV_AY532606.1_00111	Irido_IIV31_HF920637.1_00111
OG0000014	MCV_MP1_RBIV_AY532606.1_00089	Irido_IIV31_HF920637.1_00079
OG0000015	MCV_MP1_RBIV_AY532606.1_00031	Irido_IIV31_HF920637.1_00031
OG0000016	MCV_MP1_RBIV_AY532606.1_00020	Irido_IIV31_HF920637.1_00001
OG0000017	MCV_MP1_RBIV_AY532606.1_00057	Irido_IIV31_HF920637.1_00017
OG0000018	MCV_MP1_RBIV_AY532606.1_00125	Irido_IIV31_HF920637.1_00108
OG0000019	MCV_MP1_RBIV_AY532606.1_00064	Irido_IIV31_HF920637.1_00217
OG0000020	MCV_MP1_RBIV_AY532606.1_00126	Irido_IIV31_HF920637.1_00152
OG0000021	MCV_MP1_RBIV_AY532606.1_00033	Irido_IIV31_HF920637.1_00073
OG0000022	MCV_MP1_RBIV_AY532606.1_00004	Irido_IIV31_HF920637.1_00041
OG0000024	MCV_MP1_RBIV_AY532606.1_00026	Irido_IIV31_HF920637.1_00061
OG0000025	MCV_MP1_RBIV_AY532606.1_00066, MCV_MP1_RBIV_AY532606.1_00065	Irido_IIV31_HF920637.1_00156
OG0000030	MCV_MP1_RBIV_AY532606.1_00005	Irido_IIV31_HF920637.1_00127
