Orthogroup	NC_005946.1	OK042109.1
OG0000000	NC_005946.1_00010	OK042109.1_00047
OG0000001	NC_005946.1_00091	OK042109.1_00069
OG0000003	NC_005946.1_00053	OK042109.1_00068
OG0000004	NC_005946.1_00057	OK042109.1_00061
OG0000005	NC_005946.1_00095	OK042109.1_00048
OG0000006	NC_005946.1_00042	OK042109.1_00001
OG0000007	NC_005946.1_00002	OK042109.1_00110
OG0000008	NC_005946.1_00028	OK042109.1_00088
OG0000009	NC_005946.1_00092	OK042109.1_00086
OG0000010	NC_005946.1_00038	OK042109.1_00071
OG0000011	NC_005946.1_00060	OK042109.1_00054
OG0000012	NC_005946.1_00083	OK042109.1_00046
OG0000013	NC_005946.1_00087	OK042109.1_00044
OG0000014	NC_005946.1_00061	OK042109.1_00042
OG0000015	NC_005946.1_00022	OK042109.1_00020
OG0000016	NC_005946.1_00011	OK042109.1_00013
OG0000017	NC_005946.1_00094	OK042109.1_00114
OG0000018	NC_005946.1_00082	OK042109.1_00113
OG0000019	NC_005946.1_00023	OK042109.1_00093
OG0000020	NC_005946.1_00016	OK042109.1_00078
OG0000021	NC_005946.1_00021	OK042109.1_00077
OG0000022	NC_005946.1_00089	OK042109.1_00033
OG0000023	NC_005946.1_00014	OK042109.1_00105
OG0000024	NC_005946.1_00086	OK042109.1_00090
OG0000026	NC_005946.1_00049	OK042109.1_00112
OG0000027	NC_005946.1_00085	OK042109.1_00030
OG0000112	NC_005946.1_00006	OK042109.1_00120
