Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Onychodactylus koreanus ranavirus isolate OKRV1, complete genome",Onychodactylus koreanus ranavirus,807,807,100%,0.0,100.00,104734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP518040.1?report=genbank&log$=nucltop&blast_rank=1&RID=6EDUE0AT016"",""PP518040.1"")"
"Frog virus 3, complete genome",Frog virus 3,807,807,100%,0.0,100.00,105903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_005946.1?report=genbank&log$=nucltop&blast_rank=2&RID=6EDUE0AT016"",""NC_005946.1"")"
"Frog virus 3 strain Z994, complete genome",Frog virus 3,807,807,100%,0.0,100.00,104788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959621.1?report=genbank&log$=nucltop&blast_rank=3&RID=6EDUE0AT016"",""MK959621.1"")"
"Terrapene mexicana triunguis ranavirus 2 isolate 21126-3, complete genome",Terrapene mexicana triunguis ranavirus 2,807,807,100%,0.0,100.00,105297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP852645.1?report=genbank&log$=nucltop&blast_rank=4&RID=6EDUE0AT016"",""OP852645.1"")"
"Frog virus 3 isolate LC3C, complete genome",Frog virus 3,807,807,100%,0.0,100.00,106988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP179901.1?report=genbank&log$=nucltop&blast_rank=5&RID=6EDUE0AT016"",""PP179901.1"")"
"Yeast/bacterial shuttle vector pBAC-FrogVirus3 DNA, complete sequence",Yeast/bacterial shuttle vector pBAC-FrogVirus3,807,807,100%,0.0,100.00,113893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830690.1?report=genbank&log$=nucltop&blast_rank=6&RID=6EDUE0AT016"",""LC830690.1"")"
"Onychodactylus koreanus ranavirus isolate OKRV2, complete genome",Onychodactylus koreanus ranavirus,807,807,100%,0.0,100.00,104626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP518041.1?report=genbank&log$=nucltop&blast_rank=7&RID=6EDUE0AT016"",""PP518041.1"")"
"Frog virus 3 strain KTW1, complete genome",Frog virus 3,807,807,100%,0.0,100.00,106586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959607.1?report=genbank&log$=nucltop&blast_rank=8&RID=6EDUE0AT016"",""MK959607.1"")"
"Stickleback virus isolate WVL21035, complete genome",Stickleback virus,807,807,100%,0.0,100.00,105673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ514903.1?report=genbank&log$=nucltop&blast_rank=9&RID=6EDUE0AT016"",""MZ514903.1"")"
"Frog virus 3 isolate WVL20057-5, complete genome",Frog virus 3,807,807,100%,0.0,100.00,105988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM927979.1?report=genbank&log$=nucltop&blast_rank=10&RID=6EDUE0AT016"",""OM927979.1"")"
"Frog virus 3 isolate Rana, complete genome",Frog virus 3,807,807,100%,0.0,100.00,105895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ109930.1?report=genbank&log$=nucltop&blast_rank=11&RID=6EDUE0AT016"",""PQ109930.1"")"
"Frog virus 3 FV3-FUB DNA, complete genome",Frog virus 3,807,807,100%,0.0,100.00,106146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830689.1?report=genbank&log$=nucltop&blast_rank=12&RID=6EDUE0AT016"",""LC830689.1"")"
"Frog virus 3 isolate WVL20057-3, complete genome",Frog virus 3,807,807,100%,0.0,100.00,106024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM927978.1?report=genbank&log$=nucltop&blast_rank=13&RID=6EDUE0AT016"",""OM927978.1"")"
"Frog virus 3 strain KEN5, partial genome",Frog virus 3,807,807,100%,0.0,100.00,102577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959605.1?report=genbank&log$=nucltop&blast_rank=14&RID=6EDUE0AT016"",""MK959605.1"")"
"Frog virus 3 isolate NP2C, complete genome",Frog virus 3,807,807,100%,0.0,100.00,106988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP179900.1?report=genbank&log$=nucltop&blast_rank=15&RID=6EDUE0AT016"",""PP179900.1"")"
"Tadpole virus 2 isolate WVL21036, complete genome",Tadpole virus 2,807,807,100%,0.0,100.00,105671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ514904.1?report=genbank&log$=nucltop&blast_rank=16&RID=6EDUE0AT016"",""MZ514904.1"")"
"Frog virus 3 strain Z582, complete genome",Frog virus 3,807,807,100%,0.0,100.00,106549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959609.1?report=genbank&log$=nucltop&blast_rank=17&RID=6EDUE0AT016"",""MK959609.1"")"
"Rana grylio iridovirus, complete genome",Rana grylio virus,805,805,100%,0.0,99.74,105791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ654586.1?report=genbank&log$=nucltop&blast_rank=18&RID=6EDUE0AT016"",""JQ654586.1"")"
"Soft-shelled turtle iridovirus, complete genome",Soft-shelled turtle iridovirus,805,805,100%,0.0,99.74,105890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU627010.1?report=genbank&log$=nucltop&blast_rank=19&RID=6EDUE0AT016"",""EU627010.1"")"
"Rana grylio virus 9506 ribonucleotide reductase small subunit gene, complete cds",Rana grylio virus 9506,805,805,100%,0.0,99.74,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY557633.1?report=genbank&log$=nucltop&blast_rank=20&RID=6EDUE0AT016"",""AY557633.1"")"
"Trioceros melleri ranavirus isolate C16002, complete genome",Trioceros melleri ranavirus,805,805,100%,0.0,99.48,105030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953520.1?report=genbank&log$=nucltop&blast_rank=21&RID=6EDUE0AT016"",""MG953520.1"")"
"Rana nigromaculata ranavirus strain MWH421017, complete genome",Rana nigromaculata ranavirus,805,805,100%,0.0,99.74,104286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG791866.1?report=genbank&log$=nucltop&blast_rank=22&RID=6EDUE0AT016"",""MG791866.1"")"
"Terrapene carolina carolina ranavirus isolate TCA16001, complete genome",Terrapene carolina carolina ranavirus,805,805,100%,0.0,99.48,104894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953518.1?report=genbank&log$=nucltop&blast_rank=23&RID=6EDUE0AT016"",""MG953518.1"")"
"Trioceros melleri ranavirus isolate C16001, complete genome",Trioceros melleri ranavirus,805,805,100%,0.0,99.48,104803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953519.1?report=genbank&log$=nucltop&blast_rank=24&RID=6EDUE0AT016"",""MG953519.1"")"
"Frog virus 3 isolate SSME, complete genome",Frog virus 3,804,804,100%,0.0,99.22,105070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ175144.1?report=genbank&log$=nucltop&blast_rank=25&RID=6EDUE0AT016"",""KJ175144.1"")"
"Frog virus 3 isolate TCCRV, complete genome",Frog virus 3,803,803,100%,0.0,99.22,105008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ844486.1?report=genbank&log$=nucltop&blast_rank=26&RID=6EDUE0AT016"",""PQ844486.1"")"
"Frog virus 3 isolate Op/2015/Netherlands/UU3150324001, complete genome",Frog virus 3,802,802,100%,0.0,99.48,107035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF360246.1?report=genbank&log$=nucltop&blast_rank=27&RID=6EDUE0AT016"",""MF360246.1"")"
"Zoo ranavirus isolate ZRV040414, complete genome",Zoo ranavirus,802,802,100%,0.0,98.97,103266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK227779.1?report=genbank&log$=nucltop&blast_rank=28&RID=6EDUE0AT016"",""MK227779.1"")"
"Ranavirus sp. isolate CVASU FV3-like, complete genome",Ranavirus sp.,802,802,100%,0.0,99.48,106810,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM287133.1?report=genbank&log$=nucltop&blast_rank=29&RID=6EDUE0AT016"",""OM287133.1"")"
"Bohle iridovirus isolate BIV-ME 93/35, complete genome",Bohle iridovirus,802,802,100%,0.0,98.97,103531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_038507.1?report=genbank&log$=nucltop&blast_rank=30&RID=6EDUE0AT016"",""NC_038507.1"")"
"German gecko ranavirus isolate 2000/99, complete genome",German gecko ranavirus,802,802,100%,0.0,98.97,103681,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP266742.1?report=genbank&log$=nucltop&blast_rank=31&RID=6EDUE0AT016"",""KP266742.1"")"
"Terrapene mexicana triunguis ranavirus 1 isolate TMTRV1, complete genome",Terrapene mexicana triunguis ranavirus 1,801,801,100%,0.0,99.48,105670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM963013.1?report=genbank&log$=nucltop&blast_rank=32&RID=6EDUE0AT016"",""OM963013.1"")"
"Frog virus 3 isolate Hunan/CHN/2022, partial genome",Frog virus 3,800,800,100%,0.0,99.48,104462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP357265.1?report=genbank&log$=nucltop&blast_rank=33&RID=6EDUE0AT016"",""PP357265.1"")"
"Tortoise ranavirus 1 isolate 1 (882/96), complete genome",tortoise ranavirus 1,794,794,100%,0.0,98.45,103876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP266743.1?report=genbank&log$=nucltop&blast_rank=34&RID=6EDUE0AT016"",""KP266743.1"")"
"Frog virus 3 strain Z936, complete genome",Frog virus 3,793,793,100%,0.0,98.45,97848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959617.1?report=genbank&log$=nucltop&blast_rank=35&RID=6EDUE0AT016"",""MK959617.1"")"
"Frog virus 3 strain Z920, complete genome",Frog virus 3,793,793,100%,0.0,98.45,104603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959613.1?report=genbank&log$=nucltop&blast_rank=36&RID=6EDUE0AT016"",""MK959613.1"")"
"Frog virus 3 strain Z930, complete genome",Frog virus 3,793,793,100%,0.0,98.45,104245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959615.1?report=genbank&log$=nucltop&blast_rank=37&RID=6EDUE0AT016"",""MK959615.1"")"
"Andrias davidianus ranavirus isolate 1201, complete genome",Andrias davidianus ranavirus,793,793,100%,0.0,98.45,106734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC865735.1?report=genbank&log$=nucltop&blast_rank=38&RID=6EDUE0AT016"",""KC865735.1"")"
"Frog virus 3 strain Z933, complete genome",Frog virus 3,793,793,100%,0.0,98.45,105037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959616.1?report=genbank&log$=nucltop&blast_rank=39&RID=6EDUE0AT016"",""MK959616.1"")"
