Orthogroup	MW139932	MN803438
OG0000000	MK689686.1_00029 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	MK689686.1_00008 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	MK689686.1_00014 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	MK689686.1_00028 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	MK689686.1_00112 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	MK689686.1_00005 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	MK689686.1_00007 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	MK689686.1_00021 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	MK689686.1_00030 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000010	MK689686.1_00056 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	MK689686.1_00062 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	MK689686.1_00084 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	MK689686.1_00088 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	MK689686.1_00105 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	MK689686.1_00120 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	MK689686.1_00121 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000018	MK689686.1_00032 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000019	MK689686.1_00074 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	MK689686.1_00085 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	MK689686.1_00093 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	MK689686.1_00110 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000023	MK689686.1_00006 hypothetical protein	MN803438.1_00145 hypothetical protein
OG0000024	MK689686.1_00043 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000026	MK689686.1_00086 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000027	MK689686.1_00108 hypothetical protein	MN803438.1_00126 hypothetical protein
OG0000028	MK689686.1_00046 hypothetical protein	MN803438.1_00054 hypothetical protein
