Orthogroup	L63545.1	MT926123.1
OG0000000	L63545.1_00007	MT926123.1_00032
OG0000001	L63545.1_00079	MT926123.1_00007
OG0000003	L63545.1_00035	MT926123.1_00008
OG0000004	L63545.1_00076	MT926123.1_00015
OG0000005	L63545.1_00108	MT926123.1_00031
OG0000006	L63545.1_00093	MT926123.1_00079
OG0000007	L63545.1_00090	MT926123.1_00093
OG0000008	L63545.1_00001	MT926123.1_00112
OG0000009	L63545.1_00024	MT926123.1_00113
OG0000010	L63545.1_00043	MT926123.1_00005
OG0000011	L63545.1_00071	MT926123.1_00022
OG0000012	L63545.1_00098	MT926123.1_00033
OG0000013	L63545.1_00072	MT926123.1_00035
OG0000014	L63545.1_00013	MT926123.1_00037
OG0000015	L63545.1_00004	MT926123.1_00058
OG0000016	L63545.1_00069	MT926123.1_00065
OG0000017	L63545.1_00009	MT926123.1_00089
OG0000018	L63545.1_00073	MT926123.1_00090
OG0000019	L63545.1_00068	MT926123.1_00107
OG0000020	L63545.1_00030	MT926123.1_00120
OG0000021	L63545.1_00110	MT926123.1_00121
OG0000022	L63545.1_00054	MT926123.1_00046
OG0000023	L63545.1_00056	MT926123.1_00096
OG0000024	L63545.1_00002	MT926123.1_00110
OG0000026	L63545.1_00058	MT926123.1_00091
OG0000027	L63545.1_00003	MT926123.1_00049
