Orthogroup	MG570132.1	MN803438.1
OG0000000	MG570132.1_00031	MN803438.1_00124
OG0000001	MG570132.1_00007, MG570132.1_00008	MN803438.1_00023
OG0000003	MG570132.1_00009	MN803438.1_00101, MN803438.1_00056
OG0000004	MG570132.1_00016	MN803438.1_00113
OG0000005	MG570132.1_00030	MN803438.1_00106
OG0000006	MG570132.1_00073	MN803438.1_00142
OG0000007	MG570132.1_00087	MN803438.1_00027
OG0000008	MG570132.1_00108	MN803438.1_00104
OG0000009	MG570132.1_00110	MN803438.1_00109
OG0000010	MG570132.1_00005	MN803438.1_00089
OG0000011	MG570132.1_00023	MN803438.1_00128
OG0000012	MG570132.1_00032	MN803438.1_00068
OG0000013	MG570132.1_00034	MN803438.1_00035
OG0000014	MG570132.1_00036	MN803438.1_00013
OG0000015	MG570132.1_00057	MN803438.1_00007
OG0000016	MG570132.1_00063	MN803438.1_00049
OG0000017	MG570132.1_00083	MN803438.1_00097
OG0000018	MG570132.1_00084	MN803438.1_00122
OG0000019	MG570132.1_00103	MN803438.1_00051
OG0000020	MG570132.1_00118	MN803438.1_00070
OG0000021	MG570132.1_00119	MN803438.1_00046
OG0000022	MG570132.1_00045	MN803438.1_00077
OG0000023	MG570132.1_00092	MN803438.1_00071
OG0000024	MG570132.1_00106	MN803438.1_00126
OG0000026	MG570132.1_00085	MN803438.1_00037
OG0000027	MG570132.1_00048	MN803438.1_00054
OG0000028	MG570132.1_00006	MN803438.1_00145
