Orthogroup	MF599468.1	MG570132.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MG570132.1_00031
OG0000001	MF599468.1_00152	MG570132.1_00007, MG570132.1_00008
OG0000003	MF599468.1_00163	MG570132.1_00009
OG0000004	MF599468.1_00011	MG570132.1_00016
OG0000005	MF599468.1_00030	MG570132.1_00030
OG0000006	MF599468.1_00010	MG570132.1_00073
OG0000007	MF599468.1_00174	MG570132.1_00087
OG0000008	MF599468.1_00092	MG570132.1_00108
OG0000009	MF599468.1_00075	MG570132.1_00110
OG0000010	MF599468.1_00116	MG570132.1_00005
OG0000011	MF599468.1_00112	MG570132.1_00023
OG0000012	MF599468.1_00090	MG570132.1_00032
OG0000013	MF599468.1_00035	MG570132.1_00034
OG0000014	MF599468.1_00071	MG570132.1_00036
OG0000015	MF599468.1_00033	MG570132.1_00057
OG0000016	MF599468.1_00149	MG570132.1_00063
OG0000017	MF599468.1_00106	MG570132.1_00083
OG0000018	MF599468.1_00046	MG570132.1_00084
OG0000019	MF599468.1_00117	MG570132.1_00103
OG0000020	MF599468.1_00122	MG570132.1_00118
OG0000021	MF599468.1_00009	MG570132.1_00119
OG0000022	MF599468.1_00171	MG570132.1_00045
OG0000023	MF599468.1_00154	MG570132.1_00092
OG0000024	MF599468.1_00039	MG570132.1_00106
OG0000046	MF599468.1_00013	MG570132.1_00058
OG0000069	MF599468.1_00131	MG570132.1_00095
