Orthogroup	HF920633.1	BD143114.1
OG0000000	HF920633.1_00044	BD143114.1_00045
OG0000001	HF920633.1_00073	BD143114.1_00068
OG0000003	HF920633.1_00069	BD143114.1_00067
OG0000004	HF920633.1_00127	BD143114.1_00060
OG0000005	HF920633.1_00043	BD143114.1_00046
OG0000006	HF920633.1_00025	BD143114.1_00001
OG0000007	HF920633.1_00091	BD143114.1_00109
OG0000008	HF920633.1_00079	BD143114.1_00087
OG0000009	HF920633.1_00122	BD143114.1_00085
OG0000010	HF920633.1_00097	BD143114.1_00070
OG0000011	HF920633.1_00001	BD143114.1_00053
OG0000012	HF920633.1_00080	BD143114.1_00044
OG0000013	HF920633.1_00158	BD143114.1_00042
OG0000014	HF920633.1_00175	BD143114.1_00040
OG0000015	HF920633.1_00067	BD143114.1_00019
OG0000016	HF920633.1_00118	BD143114.1_00013
OG0000017	HF920633.1_00163	BD143114.1_00114
OG0000018	HF920633.1_00094	BD143114.1_00113
OG0000019	HF920633.1_00003	BD143114.1_00092
OG0000020	HF920633.1_00138	BD143114.1_00077
OG0000021	HF920633.1_00058	BD143114.1_00076
OG0000022	HF920633.1_00017	BD143114.1_00031
OG0000025	HF920633.1_00047	BD143114.1_00012
OG0000028	HF920633.1_00030	BD143114.1_00069
