Orthogroup	MF599468.1	OQ475017.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OQ475017.1_00030
OG0000001	MF599468.1_00152	OQ475017.1_00007
OG0000003	MF599468.1_00163	OQ475017.1_00008
OG0000004	MF599468.1_00011	OQ475017.1_00015
OG0000005	MF599468.1_00030	OQ475017.1_00029
OG0000006	MF599468.1_00010	OQ475017.1_00073
OG0000007	MF599468.1_00174	OQ475017.1_00087
OG0000008	MF599468.1_00092	OQ475017.1_00110
OG0000009	MF599468.1_00075	OQ475017.1_00112
OG0000010	MF599468.1_00116	OQ475017.1_00005
OG0000011	MF599468.1_00112	OQ475017.1_00022
OG0000012	MF599468.1_00090	OQ475017.1_00031
OG0000013	MF599468.1_00035	OQ475017.1_00033
OG0000014	MF599468.1_00071	OQ475017.1_00035
OG0000015	MF599468.1_00033	OQ475017.1_00056
OG0000016	MF599468.1_00149	OQ475017.1_00062
OG0000017	MF599468.1_00106	OQ475017.1_00083
OG0000018	MF599468.1_00046	OQ475017.1_00084
OG0000019	MF599468.1_00117	OQ475017.1_00105
OG0000020	MF599468.1_00122	OQ475017.1_00120
OG0000021	MF599468.1_00009	OQ475017.1_00121
OG0000022	MF599468.1_00171	OQ475017.1_00044
OG0000023	MF599468.1_00154	OQ475017.1_00093
OG0000024	MF599468.1_00039	OQ475017.1_00108
OG0000046	MF599468.1_00013	OQ475017.1_00057
OG0000069	MF599468.1_00131	OQ475017.1_00096
