Orthogroup	AY521625.1	L63545.1
OG0000000	AY521625.1_00091	L63545.1_00007
OG0000001	AY521625.1_00064	L63545.1_00079
OG0000003	AY521625.1_00077	L63545.1_00035
OG0000004	AY521625.1_00130	L63545.1_00076
OG0000005	AY521625.1_00085	L63545.1_00108
OG0000006	AY521625.1_00051	L63545.1_00093
OG0000007	AY521625.1_00016	L63545.1_00090
OG0000008	AY521625.1_00069, AY521625.1_00070	L63545.1_00001
OG0000009	AY521625.1_00142	L63545.1_00024
OG0000010	AY521625.1_00054	L63545.1_00043
OG0000011	AY521625.1_00110	L63545.1_00071
OG0000012	AY521625.1_00074	L63545.1_00098
OG0000013	AY521625.1_00059	L63545.1_00072
OG0000014	AY521625.1_00065	L63545.1_00013
OG0000015	AY521625.1_00048	L63545.1_00004
OG0000016	AY521625.1_00053	L63545.1_00069
OG0000017	AY521625.1_00086	L63545.1_00009
OG0000018	AY521625.1_00073	L63545.1_00073
OG0000019	AY521625.1_00047	L63545.1_00068
OG0000020	AY521625.1_00115	L63545.1_00030
OG0000021	AY521625.1_00035	L63545.1_00110
OG0000022	AY521625.1_00062	L63545.1_00054
OG0000023	AY521625.1_00100	L63545.1_00056
OG0000024	AY521625.1_00060	L63545.1_00002
OG0000026	AY521625.1_00022	L63545.1_00058
OG0000120	AY521625.1_00036	L63545.1_00051
OG0000137	AY521625.1_00098	L63545.1_00092
OG0000138	AY521625.1_00102	L63545.1_00016
OG0000146	AY521625.1_00002	L63545.1_00085
OG0000147	AY521625.1_00042	L63545.1_00015
OG0000148	AY521625.1_00056	L63545.1_00100
OG0000151	AY521625.1_00018	L63545.1_00018
OG0000153	AY521625.1_00126	L63545.1_00055
OG0000159	AY521625.1_00005	L63545.1_00066
OG0000160	AY521625.1_00011	L63545.1_00091
OG0000162	AY521625.1_00140	L63545.1_00048
OG0000171	AY521625.1_00066	L63545.1_00106
OG0000193	AY521625.1_00023	L63545.1_00025
OG0000194	AY521625.1_00057	L63545.1_00082
OG0000195	AY521625.1_00061	L63545.1_00021
OG0000196	AY521625.1_00094	L63545.1_00109
OG0000197	AY521625.1_00116	L63545.1_00022
OG0000198	AY521625.1_00128	L63545.1_00032
OG0000264	AY521625.1_00010	L63545.1_00061
OG0000265	AY521625.1_00055	L63545.1_00067
