Orthogroup	LS484712.1	KT804738.1
OG0000000	LS484712.1_00114	KT804738.1_00029
OG0000001	LS484712.1_00095	KT804738.1_00008
OG0000002	LS484712.1_00142	KT804738.1_00007
OG0000003	LS484712.1_00187	KT804738.1_00015
OG0000005	LS484712.1_00256	KT804738.1_00092
OG0000006	LS484712.1_00040	KT804738.1_00072
OG0000007	LS484712.1_00234, LS484712.1_00050	KT804738.1_00086
OG0000008	LS484712.1_00248	KT804738.1_00028
OG0000009	LS484712.1_00130	KT804738.1_00111
OG0000011	LS484712.1_00203	KT804738.1_00060
OG0000012	LS484712.1_00200	KT804738.1_00021
OG0000013	LS484712.1_00143	KT804738.1_00055
OG0000014	LS484712.1_00202	KT804738.1_00119
OG0000015	LS484712.1_00135	KT804738.1_00120
OG0000016	LS484712.1_00048	KT804738.1_00083
OG0000017	LS484712.1_00240	KT804738.1_00032
OG0000018	LS484712.1_00053	KT804738.1_00104
OG0000019	LS484712.1_00192	KT804738.1_00082
OG0000020	LS484712.1_00188	KT804738.1_00030
OG0000021	LS484712.1_00096	KT804738.1_00005
OG0000022	LS484712.1_00194	KT804738.1_00034
OG0000023	LS484712.1_00117	KT804738.1_00043
OG0000024	LS484712.1_00149	KT804738.1_00025
OG0000068	LS484712.1_00002	KT804738.1_00064
