Orthogroup	MT986830.1	MT521409.1
OG0000000	MT986830.1_00033	MT521409.1_00103
OG0000001	MT986830.1_00007	MT521409.1_00081
OG0000002	MT986830.1_00081	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132
OG0000003	MT986830.1_00008	MT521409.1_00082
OG0000004	MT986830.1_00015	MT521409.1_00088
OG0000005	MT986830.1_00032	MT521409.1_00100
OG0000006	MT986830.1_00080	MT521409.1_00117
OG0000007	MT986830.1_00094	MT521409.1_00053
OG0000008	MT986830.1_00116	MT521409.1_00061
OG0000009	MT986830.1_00117	MT521409.1_00060
OG0000010	MT986830.1_00005	MT521409.1_00125
OG0000011	MT986830.1_00022	MT521409.1_00097
OG0000012	MT986830.1_00034	MT521409.1_00012
OG0000013	MT986830.1_00036	MT521409.1_00011
OG0000014	MT986830.1_00038	MT521409.1_00008
OG0000015	MT986830.1_00059	MT521409.1_00039
OG0000016	MT986830.1_00065	MT521409.1_00129
OG0000017	MT986830.1_00090	MT521409.1_00047
OG0000018	MT986830.1_00091	MT521409.1_00048
OG0000019	MT986830.1_00111	MT521409.1_00064
OG0000020	MT986830.1_00125	MT521409.1_00059
OG0000021	MT986830.1_00126	MT521409.1_00134
OG0000022	MT986830.1_00046	MT521409.1_00024
OG0000023	MT986830.1_00100	MT521409.1_00057
OG0000024	MT986830.1_00114	MT521409.1_00063
OG0000025	MT986830.1_00066	MT521409.1_00114
OG0000026	MT986830.1_00092	MT521409.1_00050
OG0000027	MT986830.1_00049	MT521409.1_00027
OG0000028	MT986830.1_00006	MT521409.1_00127
OG0000029	MT986830.1_00063	MT521409.1_00042
OG0000030	MT986830.1_00001	MT521409.1_00108
OG0000031	MT986830.1_00085	MT521409.1_00119
OG0000032	MT986830.1_00093	MT521409.1_00051
OG0000033	MT986830.1_00127	MT521409.1_00110
OG0000034	MT986830.1_00013	MT521409.1_00087
OG0000035	MT986830.1_00014	MT521409.1_00133
OG0000036	MT986830.1_00019	MT521409.1_00092
OG0000037	MT986830.1_00020	MT521409.1_00093
OG0000038	MT986830.1_00023	MT521409.1_00098
OG0000039	MT986830.1_00024	MT521409.1_00090
OG0000040	MT986830.1_00035	MT521409.1_00135
OG0000041	MT986830.1_00039	MT521409.1_00013
OG0000042	MT986830.1_00051	MT521409.1_00031
OG0000043	MT986830.1_00052	MT521409.1_00032
OG0000044	MT986830.1_00057	MT521409.1_00037
OG0000045	MT986830.1_00058	MT521409.1_00038
OG0000046	MT986830.1_00060	MT521409.1_00040
OG0000047	MT986830.1_00061	MT521409.1_00052
OG0000048	MT986830.1_00062	MT521409.1_00041
OG0000049	MT986830.1_00082	MT521409.1_00118
OG0000050	MT986830.1_00086	MT521409.1_00120
OG0000051	MT986830.1_00087	MT521409.1_00005
OG0000052	MT986830.1_00099	MT521409.1_00056
OG0000053	MT986830.1_00101	MT521409.1_00106
OG0000054	MT986830.1_00104	MT521409.1_00105
OG0000055	MT986830.1_00115	MT521409.1_00062
OG0000056	MT986830.1_00119	MT521409.1_00058
OG0000057	MT986830.1_00121	MT521409.1_00001
OG0000058	MT986830.1_00002	MT521409.1_00107
OG0000059	MT986830.1_00010	MT521409.1_00084
OG0000060	MT986830.1_00018	MT521409.1_00091
OG0000061	MT986830.1_00095	MT521409.1_00054
OG0000062	MT986830.1_00029	MT521409.1_00074
OG0000096	MT986830.1_00123	MT521409.1_00046
OG0000113	MT986830.1_00021	MT521409.1_00096
OG0000114	MT986830.1_00011	MT521409.1_00085
OG0000115	MT986830.1_00056	MT521409.1_00036
OG0000129	MT986830.1_00076	MT521409.1_00076
