Orthogroup	MF599468	LS484712
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	LS484712.1_00114 hypothetical protein
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	LS484712.1_00095 hypothetical protein
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	LS484712.1_00187 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	LS484712.1_00248 hypothetical protein
OG0000004	MF599468.1_00116 MF599468.1 - hypothetical protein translation	LS484712.1_00096 hypothetical protein
OG0000005	MF599468.1_00152 MF599468.1 - Major capsid protein translation	LS484712.1_00142 Major capsid protein
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	LS484712.1_00200 hypothetical protein
OG0000007	MF599468.1_00090 MF599468.1 - hypothetical protein translation	LS484712.1_00188 hypothetical protein
OG0000008	MF599468.1_00035 MF599468.1 - hypothetical protein translation	LS484712.1_00240 hypothetical protein
OG0000009	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	MF599468.1_00033 MF599468.1 - hypothetical protein translation	LS484712.1_00143 hypothetical protein
OG0000011	MF599468.1_00149 MF599468.1 - hypothetical protein translation	LS484712.1_00203 hypothetical protein
OG0000012	MF599468.1_00106 MF599468.1 - hypothetical protein translation	LS484712.1_00192 hypothetical protein
OG0000013	MF599468.1_00174 MF599468.1 - hypothetical protein translation	LS484712.1_00050 hypothetical protein
OG0000014	MF599468.1_00117 MF599468.1 - hypothetical protein translation	LS484712.1_00053 hypothetical protein
OG0000015	MF599468.1_00122 MF599468.1 - hypothetical protein translation	LS484712.1_00202 hypothetical protein
OG0000016	MF599468.1_00009 MF599468.1 - hypothetical protein translation	LS484712.1_00135 hypothetical protein
OG0000018	MF599468.1_00010 MF599468.1 - hypothetical protein translation	LS484712.1_00040 hypothetical protein
OG0000023	MF599468.1_00075 MF599468.1 - hypothetical protein translation	LS484712.1_00130 hypothetical protein
OG0000132	MF599468.1_00002 MF599468.1 - hypothetical protein translation	LS484712.1_00057 hypothetical protein
OG0000135	MF599468.1_00051 MF599468.1 - hypothetical protein translation	LS484712.1_00063 hypothetical protein
OG0000140	MF599468.1_00161 MF599468.1 - hypothetical protein translation	LS484712.1_00133 hypothetical protein
OG0000141	MF599468.1_00027 MF599468.1 - hypothetical protein translation	LS484712.1_00197 hypothetical protein
OG0000159	MF599468.1_00141 MF599468.1 - hypothetical protein translation	LS484712.1_00116 hypothetical protein
OG0000161	MF599468.1_00004 MF599468.1 - hypothetical protein translation	LS484712.1_00140 hypothetical protein
OG0000162	MF599468.1_00162 MF599468.1 - hypothetical protein translation	LS484712.1_00195 hypothetical protein
OG0000163	MF599468.1_00067 MF599468.1 - DNA ligase translation	LS484712.1_00212 hypothetical protein
OG0000164	MF599468.1_00105 MF599468.1 - hypothetical protein translation	LS484712.1_00112 hypothetical protein
OG0000167	MF599468.1_00155 MF599468.1 - hypothetical protein translation	LS484712.1_00184 hypothetical protein
