Orthogroup	MG570131	MK637631
OG0000000	MG570131.1_00006 hypothetical protein	MK637631_00067 hypothetical protein, MK637631_00068 hypothetical protein
OG0000001	MG570131.1_00016 hypothetical protein	MK637631_00030 hypothetical protein
OG0000002	MG570131.1_00002 hypothetical protein	MK637631_00119 hypothetical protein
OG0000003	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	MK637631_00070 hypothetical protein
OG0000004	MG570131.1_00008 Major capsid protein	MK637631_00044 Major capsid protein
OG0000005	MG570131.1_00009 hypothetical protein	MK637631_00025 hypothetical protein
OG0000006	MG570131.1_00015 hypothetical protein	ECIV_ORF26_refgen RING E3 ubiquitin ligase
OG0000007	MG570131.1_00019 hypothetical protein	MK637631_00033 hypothetical protein
OG0000008	MG570131.1_00020 hypothetical protein	MK637631_00021 hypothetical protein
OG0000009	MG570131.1_00021 hypothetical protein	MK637631_00020 hypothetical protein
OG0000010	MG570131.1_00023 hypothetical protein	MK637631_00017 hypothetical protein
OG0000011	MG570131.1_00024 hypothetical protein	MK637631_00016 hypothetical protein
OG0000012	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000013	MG570131.1_00030 hypothetical protein	MK637631_00114 hypothetical protein
OG0000014	MG570131.1_00031 hypothetical protein	MK637631_00115 hypothetical protein
OG0000015	MG570131.1_00032 hypothetical protein	MK637631_00043 hypothetical protein
OG0000016	MG570131.1_00037 hypothetical protein	MK637631_00042 hypothetical protein
OG0000017	MG570131.1_00045 hypothetical protein	MK637631_00074 hypothetical protein
OG0000018	MG570131.1_00048 hypothetical protein	MK637631_00077 hypothetical protein
OG0000019	MG570131.1_00049 hypothetical protein	MK637631_00079 hypothetical protein
OG0000020	MG570131.1_00050 hypothetical protein	MK637631_00080 hypothetical protein
OG0000021	MG570131.1_00055 hypothetical protein	MK637631_00084 hypothetical protein
OG0000022	MG570131.1_00056 hypothetical protein	MK637631_00085 hypothetical protein
OG0000023	MG570131.1_00057 hypothetical protein	MK637631_00086 hypothetical protein
OG0000024	MG570131.1_00058 hypothetical protein	MK637631_00087 hypothetical protein
OG0000025	MG570131.1_00060 hypothetical protein	MK637631_00088 hypothetical protein
OG0000026	MG570131.1_00063 hypothetical protein	MK637631_00066 hypothetical protein
OG0000027	MG570131.1_00064 hypothetical protein	MK637631_00006 hypothetical protein
OG0000028	MG570131.1_00075 hypothetical protein	MK637631_00095 hypothetical protein
OG0000029	MG570131.1_00078 hypothetical protein	MK637631_00096 hypothetical protein
OG0000030	MG570131.1_00079 hypothetical protein	MK637631_00097 hypothetical protein
OG0000031	MG570131.1_00080 hypothetical protein	MK637631_00022 hypothetical protein
OG0000032	MG570131.1_00083 hypothetical protein	MK637631_00011 hypothetical protein
OG0000033	MG570131.1_00084 hypothetical protein	MK637631_00010 hypothetical protein
OG0000034	MG570131.1_00085 hypothetical protein	MK637631_00037 hypothetical protein
OG0000035	MG570131.1_00086 hypothetical protein	MK637631_00039 hypothetical protein
OG0000036	MG570131.1_00087 hypothetical protein	MK637631_00056 hypothetical protein
OG0000037	MG570131.1_00091 hypothetical protein	MK637631_00111 hypothetical protein
OG0000038	MG570131.1_00092 hypothetical protein	MK637631_00110 hypothetical protein
OG0000039	MG570131.1_00093 hypothetical protein	MK637631_00118 hypothetical protein
OG0000040	MG570131.1_00096 hypothetical protein	MK637631_00117 hypothetical protein
OG0000041	MG570131.1_00103 hypothetical protein	MK637631_00100 hypothetical protein
OG0000042	MG570131.1_00106 hypothetical protein	MK637631_00101 hypothetical protein
OG0000043	MG570131.1_00107 hypothetical protein	MK637631_00103 hypothetical protein
OG0000044	MG570131.1_00108 hypothetical protein	MK637631_00104 hypothetical protein
OG0000045	MG570131.1_00110 hypothetical protein	MK637631_00105 hypothetical protein
OG0000046	MG570131.1_00112 hypothetical protein	MK637631_00108 hypothetical protein
OG0000047	MG570131.1_00116 hypothetical protein	MK637631_00012 hypothetical protein
OG0000048	MG570131.1_00118 hypothetical protein	MK637631_00106 hypothetical protein
OG0000049	MG570131.1_00119 hypothetical protein	MK637631_00046 hypothetical protein
OG0000050	MG570131.1_00001 hypothetical protein	MK637631_00001 hypothetical protein
OG0000051	MG570131.1_00014 hypothetical protein	MK637631_00029 hypothetical protein
OG0000052	MG570131.1_00025 hypothetical protein	MK637631_00032 hypothetical protein
OG0000054	MG570131.1_00036 DNA-directed RNA polymerase subunit 2	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000055	MG570131.1_00073 hypothetical protein	MK637631_00094 hypothetical protein
OG0000056	MG570131.1_00089 hypothetical protein	MK637631_00055 hypothetical protein
OG0000057	MG570131.1_00114 hypothetical protein	MK637631_00048 hypothetical protein
OG0000058	MG570131.1_00120 hypothetical protein	MK637631_00004 hypothetical protein
OG0000059	MG570131.1_00033 hypothetical protein	MK637631_00049 hypothetical protein
OG0000063	MG570131.1_00074 hypothetical protein	MK637631_00102 hypothetical protein
OG0000107	MG570131.1_00061 hypothetical protein	MK637631_00089 hypothetical protein
OG0000114	MG570131.1_00059 hypothetical protein	MK637631_00057 hypothetical protein
OG0000116	MG570131.1_00012 hypothetical protein	MK637631_00027 hypothetical protein
OG0000117	MG570131.1_00054 hypothetical protein	MK637631_00083 hypothetical protein
OG0000120	MG570131.1_00077 hypothetical protein	MK637631_00107 hypothetical protein
