Orthogroup	MK637631	KF938901
OG0000000	MK637631_00115 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	MK637631_00025 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	KF938901.1_00023 DNA-directed RNA polymerase subunit 2, KF938901.1_00022 DNA-directed RNA polymerase subunit 2
OG0000010	MK637631_00086 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000019	MK637631_00094 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000020	MK637631_00010 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000025	MK637631_00006 hypothetical protein	KF938901.1_00093 hypothetical protein
