Orthogroup	MCV_Unclassified_MG570132.1	Daphi_LS484712.1
OG0000000	MCV_Unclassified_MG570132.1_00031	Daphi_LS484712.1_00114
OG0000001	MCV_Unclassified_MG570132.1_00008, MCV_Unclassified_MG570132.1_00007	Daphi_LS484712.1_00142
OG0000002	MCV_Unclassified_MG570132.1_00009	Daphi_LS484712.1_00095
OG0000003	MCV_Unclassified_MG570132.1_00016	Daphi_LS484712.1_00187
OG0000005	MCV_Unclassified_MG570132.1_00087	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	MCV_Unclassified_MG570132.1_00030	Daphi_LS484712.1_00248
OG0000007	MCV_Unclassified_MG570132.1_00073	Daphi_LS484712.1_00040
OG0000008	MCV_Unclassified_MG570132.1_00110	Daphi_LS484712.1_00130
OG0000009	MCV_Unclassified_MG570132.1_00092	Daphi_LS484712.1_00256
OG0000011	MCV_Unclassified_MG570132.1_00083	Daphi_LS484712.1_00192
OG0000012	MCV_Unclassified_MG570132.1_00036	Daphi_LS484712.1_00194
OG0000013	MCV_Unclassified_MG570132.1_00103	Daphi_LS484712.1_00053
OG0000014	MCV_Unclassified_MG570132.1_00084	Daphi_LS484712.1_00048
OG0000015	MCV_Unclassified_MG570132.1_00032	Daphi_LS484712.1_00188
OG0000016	MCV_Unclassified_MG570132.1_00023	Daphi_LS484712.1_00200
OG0000017	MCV_Unclassified_MG570132.1_00057	Daphi_LS484712.1_00143
OG0000018	MCV_Unclassified_MG570132.1_00118	Daphi_LS484712.1_00202
OG0000019	MCV_Unclassified_MG570132.1_00063	Daphi_LS484712.1_00203
OG0000020	MCV_Unclassified_MG570132.1_00119	Daphi_LS484712.1_00135
OG0000021	MCV_Unclassified_MG570132.1_00034	Daphi_LS484712.1_00240
OG0000022	MCV_Unclassified_MG570132.1_00005	Daphi_LS484712.1_00096
OG0000023	MCV_Unclassified_MG570132.1_00045	Daphi_LS484712.1_00117
OG0000024	MCV_Unclassified_MG570132.1_00028	Daphi_LS484712.1_00149
OG0000064	MCV_Unclassified_MG570132.1_00066	Daphi_LS484712.1_00002
