Orthogroup	Chlor_IIV22_HF920633.1	Rana_SGIV_AY521625.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Rana_SGIV_AY521625.1_00091
OG0000001	Chlor_IIV22_HF920633.1_00073	Rana_SGIV_AY521625.1_00064
OG0000002	Chlor_IIV22_HF920633.1_00069	Rana_SGIV_AY521625.1_00077
OG0000003	Chlor_IIV22_HF920633.1_00127	Rana_SGIV_AY521625.1_00130
OG0000004	Chlor_IIV22_HF920633.1_00079	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Chlor_IIV22_HF920633.1_00091	Rana_SGIV_AY521625.1_00016
OG0000006	Chlor_IIV22_HF920633.1_00043	Rana_SGIV_AY521625.1_00085
OG0000007	Chlor_IIV22_HF920633.1_00025	Rana_SGIV_AY521625.1_00051
OG0000008	Chlor_IIV22_HF920633.1_00122	Rana_SGIV_AY521625.1_00142
OG0000009	Chlor_IIV22_HF920633.1_00085	Rana_SGIV_AY521625.1_00100
OG0000011	Chlor_IIV22_HF920633.1_00163	Rana_SGIV_AY521625.1_00086
OG0000012	Chlor_IIV22_HF920633.1_00175	Rana_SGIV_AY521625.1_00065
OG0000013	Chlor_IIV22_HF920633.1_00003	Rana_SGIV_AY521625.1_00047
OG0000014	Chlor_IIV22_HF920633.1_00094	Rana_SGIV_AY521625.1_00073
OG0000015	Chlor_IIV22_HF920633.1_00080	Rana_SGIV_AY521625.1_00074
OG0000016	Chlor_IIV22_HF920633.1_00001	Rana_SGIV_AY521625.1_00110
OG0000017	Chlor_IIV22_HF920633.1_00067	Rana_SGIV_AY521625.1_00048
OG0000018	Chlor_IIV22_HF920633.1_00138	Rana_SGIV_AY521625.1_00115
OG0000019	Chlor_IIV22_HF920633.1_00118	Rana_SGIV_AY521625.1_00053
OG0000020	Chlor_IIV22_HF920633.1_00058	Rana_SGIV_AY521625.1_00035
OG0000021	Chlor_IIV22_HF920633.1_00158	Rana_SGIV_AY521625.1_00059
OG0000022	Chlor_IIV22_HF920633.1_00097	Rana_SGIV_AY521625.1_00054
OG0000023	Chlor_IIV22_HF920633.1_00017	Rana_SGIV_AY521625.1_00062
OG0000024	Chlor_IIV22_HF920633.1_00062	Rana_SGIV_AY521625.1_00042
OG0000113	Chlor_IIV22_HF920633.1_00086	Rana_SGIV_AY521625.1_00036
OG0000133	Chlor_IIV22_HF920633.1_00064	Rana_SGIV_AY521625.1_00102
OG0000134	Chlor_IIV22_HF920633.1_00135	Rana_SGIV_AY521625.1_00098
OG0000137	Chlor_IIV22_HF920633.1_00132	Rana_SGIV_AY521625.1_00056
OG0000148	Chlor_IIV22_HF920633.1_00026	Rana_SGIV_AY521625.1_00133
OG0000152	Chlor_IIV22_HF920633.1_00024	Rana_SGIV_AY521625.1_00018
OG0000156	Chlor_IIV22_HF920633.1_00106	Rana_SGIV_AY521625.1_00044
OG0000165	Chlor_IIV22_HF920633.1_00034	Rana_SGIV_AY521625.1_00140
OG0000166	Chlor_IIV22_HF920633.1_00171	Rana_SGIV_AY521625.1_00005
OG0000168	Chlor_IIV22_HF920633.1_00144	Rana_SGIV_AY521625.1_00014
