Orthogroup	AY521625	MT521409
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	OM037668.1_00035 hypothetical protein
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	OM037668.1_00056 hypothetical protein
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	OM037668.1_00050 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	SDDV_ORF038 Flap endonuclease
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	OM037668.1_00077 hypothetical protein
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	OM037668.1_00013 hypothetical protein
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	OM037668.1_00057 Major capsid protein
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	OM037668.1_00041 hypothetical protein
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	OM037668.1_00123 hypothetical protein
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	OM037668.1_00098 hypothetical protein
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	OM037668.1_00009 hypothetical protein
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	OM037668.1_00090 hypothetical protein
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	OM037668.1_00084 hypothetical protein
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	OM037668.1_00073 hypothetical protein
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	OM037668.1_00078 hypothetical protein
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	OM037668.1_00004 hypothetical protein
OG0000017	AY521625.1_00042 AY521625.1 - hypothetical protein translation	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	AY521625.1_00059 AY521625.1 - hypothetical protein translation	OM037668.1_00124 hypothetical protein
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	OM037668.1_00021 hypothetical protein
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	OM037668.1_00089 hypothetical protein
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	OM037668.1_00080 hypothetical protein
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	OM037668.1_00076 hypothetical protein
OG0000024	AY521625.1_00062 AY521625.1 - hypothetical protein translation	OM037668.1_00113 hypothetical protein
OG0000026	AY521625.1_00022 AY521625.1 - hypothetical protein translation	OM037668.1_00087 hypothetical protein
OG0000027	AY521625.1_00060 AY521625.1 - hypothetical protein translation	OM037668.1_00074 hypothetical protein
OG0000031	AY521625.1_00004 AY521625.1 - hypothetical protein translation	OM037668.1_00030 hypothetical protein
OG0000149	AY521625.1_00002 AY521625.1 - hypothetical protein translation	OM037668.1_00001 hypothetical protein
OG0000153	AY521625.1_00046 AY521625.1 - hypothetical protein translation	OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein
