locus_tag	ftype	length_bp	gene	EC_number	COG	product
OK042108_00001	CDS	2028				hypothetical protein
OK042108_00002	CDS	1020				hypothetical protein
OK042108_00003	CDS	420				hypothetical protein
OK042108_00004	CDS	1611				hypothetical protein
OK042108_00005	CDS	477				hypothetical protein
OK042108_00006	CDS	732				hypothetical protein
OK042108_00007	CDS	1434				hypothetical protein
OK042108_00008	CDS	669				hypothetical protein
OK042108_00009	CDS	1044				hypothetical protein
OK042108_00010	CDS	216				hypothetical protein
OK042108_00011	CDS	189				hypothetical protein
OK042108_00012	CDS	1473				hypothetical protein
OK042108_00013	CDS	2649				hypothetical protein
OK042108_00014	CDS	369				hypothetical protein
OK042108_00015	CDS	3762				hypothetical protein
OK042108_00016	CDS	807				hypothetical protein
OK042108_00017	CDS	111				hypothetical protein
OK042108_00018	CDS	513				hypothetical protein
OK042108_00019	CDS	261				hypothetical protein
OK042108_00020	CDS	648				hypothetical protein
OK042108_00021	CDS	942				hypothetical protein
OK042108_00022	CDS	945				hypothetical protein
OK042108_00023	CDS	171				hypothetical protein
OK042108_00024	CDS	453				hypothetical protein
OK042108_00025	CDS	429				hypothetical protein
OK042108_00026	CDS	171				hypothetical protein
OK042108_00027	CDS	354				hypothetical protein
OK042108_00028	CDS	210				hypothetical protein
OK042108_00029	CDS	243				hypothetical protein
OK042108_00030	CDS	684				hypothetical protein
OK042108_00031	CDS	915				hypothetical protein
OK042108_00032	CDS	801				hypothetical protein
OK042108_00033	CDS	363				hypothetical protein
OK042108_00034	CDS	600				hypothetical protein
OK042108_00035	CDS	1293				hypothetical protein
OK042108_00036	CDS	1149				hypothetical protein
OK042108_00037	CDS	879				hypothetical protein
OK042108_00038	CDS	1440				hypothetical protein
OK042108_00039	CDS	1350				hypothetical protein
OK042108_00040	CDS	1026				hypothetical protein
OK042108_00041	CDS	1140				hypothetical protein
OK042108_00042	CDS	3159	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
OK042108_00043	CDS	903				hypothetical protein
OK042108_00044	CDS	582				hypothetical protein
OK042108_00045	CDS	528				hypothetical protein
OK042108_00046	CDS	204				hypothetical protein
OK042108_00047	CDS	3507				hypothetical protein
OK042108_00048	CDS	897				hypothetical protein
OK042108_00049	CDS	591				hypothetical protein
OK042108_00050	CDS	939		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
OK042108_00051	CDS	1290				hypothetical protein
OK042108_00052	CDS	351				hypothetical protein
OK042108_00053	CDS	1596				hypothetical protein
OK042108_00054	CDS	534				hypothetical protein
OK042108_00055	CDS	2844				hypothetical protein
OK042108_00056	CDS	210				hypothetical protein
OK042108_00057	CDS	333				hypothetical protein
OK042108_00058	CDS	588				hypothetical protein
OK042108_00059	CDS	792				hypothetical protein
OK042108_00060	CDS	957				hypothetical protein
OK042108_00061	CDS	294				hypothetical protein
OK042108_00062	CDS	1398				hypothetical protein
OK042108_00063	CDS	333				hypothetical protein
OK042108_00064	CDS	261				hypothetical protein
OK042108_00065	CDS	393				hypothetical protein
OK042108_00066	CDS	219				hypothetical protein
OK042108_00067	CDS	1548				hypothetical protein
OK042108_00068	CDS	1458				hypothetical protein
OK042108_00069	CDS	1362	MCP			Major capsid protein
OK042108_00070	CDS	570				hypothetical protein
OK042108_00071	CDS	453				hypothetical protein
OK042108_00072	CDS	306				hypothetical protein
OK042108_00073	CDS	468				hypothetical protein
OK042108_00074	CDS	1077				hypothetical protein
OK042108_00075	CDS	825				hypothetical protein
OK042108_00076	CDS	381				hypothetical protein
OK042108_00077	CDS	720				hypothetical protein
OK042108_00078	CDS	603				hypothetical protein
OK042108_00079	CDS	507				hypothetical protein
OK042108_00080	CDS	288				hypothetical protein
OK042108_00081	CDS	1314				hypothetical protein
OK042108_00082	CDS	270				hypothetical protein
OK042108_00083	CDS	675				hypothetical protein
OK042108_00084	CDS	1377				hypothetical protein
OK042108_00085	CDS	1011				hypothetical protein
OK042108_00086	CDS	288				hypothetical protein
OK042108_00087	CDS	2583				hypothetical protein
OK042108_00088	CDS	504				hypothetical protein
OK042108_00089	CDS	744				hypothetical protein
OK042108_00090	CDS	843				hypothetical protein
OK042108_00091	CDS	156				hypothetical protein
OK042108_00092	CDS	2763				hypothetical protein
OK042108_00093	CDS	630				hypothetical protein
OK042108_00094	CDS	873				hypothetical protein
OK042108_00095	CDS	888				hypothetical protein
OK042108_00096	CDS	372				hypothetical protein
OK042108_00097	CDS	777				hypothetical protein
OK042108_00098	CDS	414				hypothetical protein
OK042108_00099	CDS	1446				hypothetical protein
OK042108_00100	CDS	516				hypothetical protein
OK042108_00101	CDS	570				hypothetical protein
OK042108_00102	CDS	324				hypothetical protein
OK042108_00103	CDS	492				hypothetical protein
OK042108_00104	CDS	738				hypothetical protein
OK042108_00105	CDS	1164				hypothetical protein
OK042108_00106	CDS	501				hypothetical protein
OK042108_00107	CDS	759				hypothetical protein
OK042108_00108	CDS	186				hypothetical protein
OK042108_00109	CDS	987				hypothetical protein
OK042108_00110	CDS	1572				hypothetical protein
OK042108_00111	CDS	414				hypothetical protein
OK042108_00112	CDS	771				hypothetical protein
OK042108_00113	CDS	468				hypothetical protein
OK042108_00114	CDS	531				hypothetical protein
OK042108_00115	CDS	1305				hypothetical protein
OK042108_00116	CDS	360				hypothetical protein
OK042108_00117	CDS	1107				hypothetical protein
OK042108_00118	CDS	498				hypothetical protein
OK042108_00119	CDS	474				hypothetical protein
OK042108_00120	CDS	225				hypothetical protein
OK042108_00121	CDS	465				hypothetical protein
OK042108_00122	CDS	1335				hypothetical protein
