Orthogroup	MN432490.1	NC_005946.1
OG0000000	MN432490.1_00032	NC_005946.1_00010
OG0000001	MN432490.1_00008	NC_005946.1_00053
OG0000002	MN432490.1_00007	NC_005946.1_00091
OG0000003	MN432490.1_00015	NC_005946.1_00057
OG0000004	MN432490.1_00113	NC_005946.1_00028
OG0000005	MN432490.1_00097	NC_005946.1_00014
OG0000006	MN432490.1_00078	NC_005946.1_00042
OG0000007	MN432490.1_00092	NC_005946.1_00002
OG0000008	MN432490.1_00031	NC_005946.1_00095
OG0000009	MN432490.1_00114	NC_005946.1_00092
OG0000011	MN432490.1_00064	NC_005946.1_00011
OG0000012	MN432490.1_00023	NC_005946.1_00060
OG0000013	MN432490.1_00058	NC_005946.1_00022
OG0000014	MN432490.1_00122	NC_005946.1_00016
OG0000015	MN432490.1_00123	NC_005946.1_00021
OG0000016	MN432490.1_00089	NC_005946.1_00082
OG0000017	MN432490.1_00035	NC_005946.1_00087
OG0000018	MN432490.1_00108	NC_005946.1_00023
OG0000019	MN432490.1_00088	NC_005946.1_00094
OG0000020	MN432490.1_00033	NC_005946.1_00083
OG0000021	MN432490.1_00005	NC_005946.1_00038
OG0000022	MN432490.1_00037	NC_005946.1_00061
OG0000023	MN432490.1_00046	NC_005946.1_00089
OG0000024	MN432490.1_00028	NC_005946.1_00067
OG0000026	MN432490.1_00111	NC_005946.1_00086
OG0000027	MN432490.1_00090	NC_005946.1_00049
OG0000028	MN432490.1_00049	NC_005946.1_00085
OG0000112	MN432490.1_00082	NC_005946.1_00006
