Orthogroup	OQ475017.1	OK042109.1
OG0000000	OQ475017.1_00030	OK042109.1_00047
OG0000001	OQ475017.1_00007	OK042109.1_00069
OG0000002	OQ475017.1_00074	OK042109.1_00123
OG0000003	OQ475017.1_00008	OK042109.1_00068
OG0000004	OQ475017.1_00015	OK042109.1_00061
OG0000005	OQ475017.1_00029	OK042109.1_00048
OG0000006	OQ475017.1_00073	OK042109.1_00001
OG0000007	OQ475017.1_00087	OK042109.1_00110
OG0000008	OQ475017.1_00110	OK042109.1_00088
OG0000009	OQ475017.1_00112	OK042109.1_00086
OG0000010	OQ475017.1_00005	OK042109.1_00071
OG0000011	OQ475017.1_00022	OK042109.1_00054
OG0000012	OQ475017.1_00031	OK042109.1_00046
OG0000013	OQ475017.1_00033	OK042109.1_00044
OG0000014	OQ475017.1_00035	OK042109.1_00042
OG0000015	OQ475017.1_00056	OK042109.1_00020
OG0000016	OQ475017.1_00062	OK042109.1_00013
OG0000017	OQ475017.1_00083	OK042109.1_00114
OG0000018	OQ475017.1_00084	OK042109.1_00113
OG0000019	OQ475017.1_00105	OK042109.1_00093
OG0000020	OQ475017.1_00120	OK042109.1_00078
OG0000021	OQ475017.1_00121	OK042109.1_00077
OG0000022	OQ475017.1_00044	OK042109.1_00033
OG0000023	OQ475017.1_00093	OK042109.1_00105
OG0000024	OQ475017.1_00108	OK042109.1_00090
OG0000026	OQ475017.1_00085	OK042109.1_00112
OG0000027	OQ475017.1_00047	OK042109.1_00030
OG0000028	OQ475017.1_00006	OK042109.1_00070
OG0000029	OQ475017.1_00060	OK042109.1_00015
OG0000030	OQ475017.1_00001	OK042109.1_00075
OG0000031	OQ475017.1_00078	OK042109.1_00119
OG0000032	OQ475017.1_00086	OK042109.1_00111
OG0000033	OQ475017.1_00122	OK042109.1_00076
OG0000034	OQ475017.1_00013	OK042109.1_00063
OG0000035	OQ475017.1_00014	OK042109.1_00062
OG0000036	OQ475017.1_00019	OK042109.1_00057
OG0000037	OQ475017.1_00020	OK042109.1_00056
OG0000038	OQ475017.1_00023	OK042109.1_00053
OG0000039	OQ475017.1_00024	OK042109.1_00052
OG0000040	OQ475017.1_00032	OK042109.1_00045
OG0000041	OQ475017.1_00036	OK042109.1_00041
OG0000042	OQ475017.1_00048	OK042109.1_00028
OG0000043	OQ475017.1_00049	OK042109.1_00027
OG0000044	OQ475017.1_00054	OK042109.1_00022
OG0000045	OQ475017.1_00055	OK042109.1_00021
OG0000046	OQ475017.1_00057	OK042109.1_00019
OG0000047	OQ475017.1_00058	OK042109.1_00017
OG0000048	OQ475017.1_00059	OK042109.1_00016
OG0000049	OQ475017.1_00075	OK042109.1_00122
OG0000050	OQ475017.1_00079	OK042109.1_00118
OG0000051	OQ475017.1_00080	OK042109.1_00117
OG0000052	OQ475017.1_00092	OK042109.1_00106
OG0000053	OQ475017.1_00094	OK042109.1_00104
OG0000054	OQ475017.1_00097	OK042109.1_00101
OG0000055	OQ475017.1_00109	OK042109.1_00089
OG0000056	OQ475017.1_00114	OK042109.1_00084
OG0000057	OQ475017.1_00116	OK042109.1_00082
OG0000058	OQ475017.1_00002	OK042109.1_00074
OG0000059	OQ475017.1_00010	OK042109.1_00066
OG0000060	OQ475017.1_00018	OK042109.1_00058
OG0000061	OQ475017.1_00088	OK042109.1_00109
OG0000062	OQ475017.1_00027	OK042109.1_00051
OG0000063	OQ475017.1_00070	OK042109.1_00005
OG0000064	OQ475017.1_00017	OK042109.1_00059
OG0000065	OQ475017.1_00038	OK042109.1_00039
OG0000066	OQ475017.1_00042	OK042109.1_00035
OG0000067	OQ475017.1_00046	OK042109.1_00031
OG0000068	OQ475017.1_00065	OK042109.1_00010
OG0000069	OQ475017.1_00096	OK042109.1_00102
OG0000070	OQ475017.1_00098	OK042109.1_00100
OG0000071	OQ475017.1_00113	OK042109.1_00085
OG0000072	OQ475017.1_00009	OK042109.1_00067
OG0000073	OQ475017.1_00012	OK042109.1_00064
OG0000074	OQ475017.1_00016	OK042109.1_00060
OG0000075	OQ475017.1_00034	OK042109.1_00043
OG0000076	OQ475017.1_00037	OK042109.1_00040
OG0000077	OQ475017.1_00040	OK042109.1_00037
OG0000078	OQ475017.1_00041	OK042109.1_00036
OG0000079	OQ475017.1_00045	OK042109.1_00032
OG0000080	OQ475017.1_00050	OK042109.1_00026
OG0000081	OQ475017.1_00051	OK042109.1_00025
OG0000082	OQ475017.1_00052	OK042109.1_00024
OG0000083	OQ475017.1_00061	OK042109.1_00014
OG0000084	OQ475017.1_00064	OK042109.1_00012
OG0000085	OQ475017.1_00066	OK042109.1_00009
OG0000086	OQ475017.1_00067	OK042109.1_00008
OG0000087	OQ475017.1_00071	OK042109.1_00004
OG0000088	OQ475017.1_00072	OK042109.1_00003
OG0000089	OQ475017.1_00081	OK042109.1_00116
OG0000090	OQ475017.1_00082	OK042109.1_00115
OG0000091	OQ475017.1_00095	OK042109.1_00103
OG0000092	OQ475017.1_00099	OK042109.1_00099
OG0000093	OQ475017.1_00103	OK042109.1_00095
OG0000094	OQ475017.1_00106	OK042109.1_00092
OG0000095	OQ475017.1_00107	OK042109.1_00091
OG0000096	OQ475017.1_00118	OK042109.1_00080
