Orthogroup	MG570132.1	HF920633.1
OG0000000	MG570132.1_00031	HF920633.1_00044
OG0000001	MG570132.1_00009	HF920633.1_00069
OG0000002	MG570132.1_00008, MG570132.1_00007	HF920633.1_00073
OG0000003	MG570132.1_00016	HF920633.1_00127
OG0000004	MG570132.1_00108	HF920633.1_00079
OG0000005	MG570132.1_00092	HF920633.1_00085
OG0000006	MG570132.1_00073	HF920633.1_00025
OG0000007	MG570132.1_00087	HF920633.1_00091
OG0000008	MG570132.1_00030	HF920633.1_00043
OG0000009	MG570132.1_00110	HF920633.1_00122
OG0000011	MG570132.1_00063	HF920633.1_00118
OG0000012	MG570132.1_00023	HF920633.1_00001
OG0000013	MG570132.1_00057	HF920633.1_00067
OG0000014	MG570132.1_00118	HF920633.1_00138
OG0000015	MG570132.1_00119	HF920633.1_00058
OG0000016	MG570132.1_00084	HF920633.1_00094
OG0000017	MG570132.1_00034	HF920633.1_00158
OG0000018	MG570132.1_00103	HF920633.1_00003
OG0000019	MG570132.1_00083	HF920633.1_00163
OG0000020	MG570132.1_00032	HF920633.1_00080
OG0000021	MG570132.1_00005	HF920633.1_00097
OG0000022	MG570132.1_00036	HF920633.1_00175
OG0000023	MG570132.1_00045	HF920633.1_00017
OG0000024	MG570132.1_00028	HF920633.1_00062
OG0000025	MG570132.1_00064	HF920633.1_00047
