Orthogroup	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
OG0000465	hypothetical protein AF303741.1_00013																																								
OG0000466	hypothetical protein AF303741.1_00019																																								
OG0000467	hypothetical protein AF303741.1_00021																																								
OG0000468	hypothetical protein AF303741.1_00022																																								
OG0000469	hypothetical protein AF303741.1_00029																																								
OG0000470	hypothetical protein AF303741.1_00030																																								
OG0000471	hypothetical protein AF303741.1_00032																																								
OG0000472	hypothetical protein AF303741.1_00033																																								
OG0000473	hypothetical protein AF303741.1_00036																																								
OG0000474	hypothetical protein AF303741.1_00037																																								
OG0000475	hypothetical protein AF303741.1_00038																																								
OG0000476	hypothetical protein AF303741.1_00039																																								
OG0000477	hypothetical protein AF303741.1_00041																																								
OG0000478	hypothetical protein AF303741.1_00054																																								
OG0000479	hypothetical protein AF303741.1_00057																																								
OG0000480	hypothetical protein AF303741.1_00058																																								
OG0000481	hypothetical protein AF303741.1_00059																																								
OG0000482	hypothetical protein AF303741.1_00071																																								
OG0000483	hypothetical protein AF303741.1_00073																																								
OG0000484	hypothetical protein AF303741.1_00075																																								
OG0000485	hypothetical protein AF303741.1_00082																																								
OG0000486	hypothetical protein AF303741.1_00084																																								
OG0000487	hypothetical protein AF303741.1_00103																																								
OG0000488	hypothetical protein AF303741.1_00108																																								
OG0000489	hypothetical protein AF303741.1_00110																																								
OG0000490	hypothetical protein AF303741.1_00114																																								
OG0000491	hypothetical protein AF303741.1_00123																																								
OG0000492	hypothetical protein AF303741.1_00127																																								
OG0000493	hypothetical protein AF303741.1_00128																																								
OG0000494	hypothetical protein AF303741.1_00133																																								
OG0000495	hypothetical protein AF303741.1_00134																																								
OG0000496	hypothetical protein AF303741.1_00138																																								
OG0000497	hypothetical protein AF303741.1_00144																																								
OG0000498	hypothetical protein AF303741.1_00153																																								
OG0000499	hypothetical protein AF303741.1_00164																																								
OG0000500	hypothetical protein AF303741.1_00171																																								
OG0000501	hypothetical protein AF303741.1_00188																																								
OG0000502	hypothetical protein AF303741.1_00191																																								
OG0000503	hypothetical protein AF303741.1_00194																																								
OG0000504		hypothetical protein AF371960.1_00028																																							
OG0000505			AY521625.1 - hypothetical protein translation AY521625.1_00001																																						
OG0000506			AY521625.1 - hypothetical protein translation AY521625.1_00006																																						
OG0000507			AY521625.1 - hypothetical protein translation AY521625.1_00007																																						
OG0000508			AY521625.1 - hypothetical protein translation AY521625.1_00009																																						
OG0000509			AY521625.1 - hypothetical protein translation AY521625.1_00012																																						
OG0000510			AY521625.1 - hypothetical protein translation AY521625.1_00017																																						
OG0000511			AY521625.1 - hypothetical protein translation AY521625.1_00019																																						
OG0000512			AY521625.1 - hypothetical protein translation AY521625.1_00021																																						
OG0000513			AY521625.1 - hypothetical protein translation AY521625.1_00024																																						
OG0000514			AY521625.1 - hypothetical protein translation AY521625.1_00028																																						
OG0000515			AY521625.1 - hypothetical protein translation AY521625.1_00031																																						
OG0000516			AY521625.1 - hypothetical protein translation AY521625.1_00034																																						
OG0000517			AY521625.1 - hypothetical protein translation AY521625.1_00037																																						
OG0000518			AY521625.1 - hypothetical protein translation AY521625.1_00038																																						
OG0000519			AY521625.1 - hypothetical protein translation AY521625.1_00040																																						
OG0000520			AY521625.1 - hypothetical protein translation AY521625.1_00041																																						
OG0000521			AY521625.1 - hypothetical protein translation AY521625.1_00045																																						
OG0000522			AY521625.1 - hypothetical protein translation AY521625.1_00049																																						
OG0000523			AY521625.1 - hypothetical protein translation AY521625.1_00050																																						
OG0000524			AY521625.1 - hypothetical protein translation AY521625.1_00058																																						
OG0000525			AY521625.1 - hypothetical protein translation AY521625.1_00067																																						
OG0000526			AY521625.1 - hypothetical protein translation AY521625.1_00071																																						
OG0000527			AY521625.1 - hypothetical protein translation AY521625.1_00083																																						
OG0000528			AY521625.1 - hypothetical protein translation AY521625.1_00084																																						
OG0000529			AY521625.1 - hypothetical protein translation AY521625.1_00087																																						
OG0000530			AY521625.1 - hypothetical protein translation AY521625.1_00092																																						
OG0000531			AY521625.1 - hypothetical protein translation AY521625.1_00093																																						
OG0000532			AY521625.1 - hypothetical protein translation AY521625.1_00095																																						
OG0000533			AY521625.1 - hypothetical protein translation AY521625.1_00096																																						
OG0000534			AY521625.1 - hypothetical protein translation AY521625.1_00099																																						
OG0000535			AY521625.1 - hypothetical protein translation AY521625.1_00101																																						
OG0000536			AY521625.1 - hypothetical protein translation AY521625.1_00103																																						
OG0000537			AY521625.1 - tRNA-Ile_tat_ translation AY521625.1_00111																																						
OG0000538			AY521625.1 - hypothetical protein translation AY521625.1_00112																																						
OG0000539			AY521625.1 - hypothetical protein translation AY521625.1_00114																																						
OG0000540			AY521625.1 - hypothetical protein translation AY521625.1_00120																																						
OG0000541			AY521625.1 - hypothetical protein translation AY521625.1_00121																																						
OG0000542			AY521625.1 - hypothetical protein translation AY521625.1_00122																																						
OG0000543			AY521625.1 - hypothetical protein translation AY521625.1_00129																																						
OG0000544			AY521625.1 - hypothetical protein translation AY521625.1_00132																																						
OG0000545			AY521625.1 - hypothetical protein translation AY521625.1_00134																																						
OG0000546			AY521625.1 - hypothetical protein translation AY521625.1_00135																																						
OG0000547			AY521625.1 - hypothetical protein translation AY521625.1_00136																																						
OG0000548			AY521625.1 - hypothetical protein translation AY521625.1_00138																																						
OG0000549			AY521625.1 - hypothetical protein translation AY521625.1_00139																																						
OG0000550			AY521625.1 - hypothetical protein translation AY521625.1_00141																																						
OG0000551						hypothetical protein GQ273492.1_00010																																			
OG0000552							hypothetical protein HF920633.1_00009																																		
OG0000553							hypothetical protein HF920633.1_00010																																		
OG0000554							hypothetical protein HF920633.1_00011																																		
OG0000555							hypothetical protein HF920633.1_00028																																		
OG0000556							hypothetical protein HF920633.1_00038																																		
OG0000557							hypothetical protein HF920633.1_00054																																		
OG0000558							hypothetical protein HF920633.1_00068																																		
OG0000559							hypothetical protein HF920633.1_00071																																		
OG0000560							hypothetical protein HF920633.1_00072																																		
OG0000561							hypothetical protein HF920633.1_00076																																		
OG0000562							hypothetical protein HF920633.1_00076																																		
OG0000563							hypothetical protein HF920633.1_00077																																		
OG0000564							hypothetical protein HF920633.1_00083																																		
OG0000565							hypothetical protein HF920633.1_00084																																		
OG0000566							hypothetical protein HF920633.1_00093																																		
OG0000567							hypothetical protein HF920633.1_00108																																		
OG0000568							hypothetical protein HF920633.1_00109																																		
OG0000569							hypothetical protein HF920633.1_00114																																		
OG0000570							hypothetical protein HF920633.1_00124																																		
OG0000571							hypothetical protein HF920633.1_00126																																		
OG0000572							hypothetical protein HF920633.1_00133																																		
OG0000573							hypothetical protein HF920633.1_00148																																		
OG0000574							hypothetical protein HF920633.1_00150																																		
OG0000575							hypothetical protein HF920633.1_00152																																		
OG0000576							hypothetical protein HF920633.1_00154																																		
OG0000577							hypothetical protein HF920633.1_00168																																		
OG0000578							hypothetical protein HF920633.1_00173																																		
OG0000579								HF920637.1 - hypothetical protein translation HF920637.1_00003																																	
OG0000580								HF920637.1 - hypothetical protein translation HF920637.1_00004																																	
OG0000581								HF920637.1 - hypothetical protein translation HF920637.1_00010																																	
OG0000582								HF920637.1 - hypothetical protein translation HF920637.1_00016																																	
OG0000583								HF920637.1 - hypothetical protein translation HF920637.1_00026																																	
OG0000584								HF920637.1 - hypothetical protein translation HF920637.1_00028																																	
OG0000585								HF920637.1 - hypothetical protein translation HF920637.1_00042																																	
OG0000586								HF920637.1 - hypothetical protein translation HF920637.1_00044																																	
OG0000587								HF920637.1 - hypothetical protein translation HF920637.1_00052																																	
OG0000588								HF920637.1 - hypothetical protein translation HF920637.1_00054																																	
OG0000589								HF920637.1 - hypothetical protein translation HF920637.1_00068																																	
OG0000590								HF920637.1 - hypothetical protein translation HF920637.1_00075																																	
OG0000591								HF920637.1 - hypothetical protein translation HF920637.1_00080																																	
OG0000592								HF920637.1 - hypothetical protein translation HF920637.1_00086																																	
OG0000593								HF920637.1 - hypothetical protein translation HF920637.1_00087																																	
OG0000594								HF920637.1 - hypothetical protein translation HF920637.1_00089																																	
OG0000595								HF920637.1 - hypothetical protein translation HF920637.1_00091																																	
OG0000596								HF920637.1 - hypothetical protein translation HF920637.1_00092																																	
OG0000597								HF920637.1 - hypothetical protein translation HF920637.1_00097																																	
OG0000598								HF920637.1 - hypothetical protein translation HF920637.1_00098																																	
OG0000599								HF920637.1 - hypothetical protein translation HF920637.1_00099																																	
OG0000600								HF920637.1 - hypothetical protein translation HF920637.1_00101																																	
OG0000601								HF920637.1 - hypothetical protein translation HF920637.1_00106																																	
OG0000602								HF920637.1 - hypothetical protein translation HF920637.1_00109																																	
OG0000603								HF920637.1 - hypothetical protein translation HF920637.1_00110																																	
OG0000604								HF920637.1 - hypothetical protein translation HF920637.1_00112																																	
OG0000605								HF920637.1 - hypothetical protein translation HF920637.1_00114																																	
OG0000606								HF920637.1 - hypothetical protein translation HF920637.1_00117																																	
OG0000607								HF920637.1 - hypothetical protein translation HF920637.1_00118																																	
OG0000608								HF920637.1 - hypothetical protein translation HF920637.1_00119																																	
OG0000609								HF920637.1 - hypothetical protein translation HF920637.1_00128																																	
OG0000610								HF920637.1 - hypothetical protein translation HF920637.1_00132																																	
OG0000611								HF920637.1 - hypothetical protein translation HF920637.1_00137																																	
