Orthogroup	BD143114.1	KF938901.1
OG0000000	BD143114.1_00045	KF938901.1_00126
OG0000001	BD143114.1_00068	KF938901.1_00044
OG0000003	BD143114.1_00067	KF938901.1_00080
OG0000004	BD143114.1_00060	KF938901.1_00005
OG0000005	BD143114.1_00046	KF938901.1_00067
OG0000006	BD143114.1_00001	KF938901.1_00072
OG0000007	BD143114.1_00109	KF938901.1_00053
OG0000008	BD143114.1_00087	KF938901.1_00043
OG0000009	BD143114.1_00085	KF938901.1_00114
OG0000010	BD143114.1_00070	KF938901.1_00124
OG0000011	BD143114.1_00053	KF938901.1_00054
OG0000012	BD143114.1_00044	KF938901.1_00047
OG0000013	BD143114.1_00042	KF938901.1_00123
OG0000014	BD143114.1_00040	KF938901.1_00023
OG0000015	BD143114.1_00019	KF938901.1_00060
OG0000016	BD143114.1_00013	KF938901.1_00092
OG0000017	BD143114.1_00114	KF938901.1_00012
OG0000018	BD143114.1_00113	KF938901.1_00046
OG0000019	BD143114.1_00092	KF938901.1_00025
OG0000020	BD143114.1_00077	KF938901.1_00074
OG0000021	BD143114.1_00076	KF938901.1_00095
OG0000022	BD143114.1_00031	KF938901.1_00031
OG0000025	BD143114.1_00012	KF938901.1_00093
