Orthogroup	MT521409	HF920633
OG0000000	OM037668.1_00035 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	OM037668.1_00056 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	OM037668.1_00050 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	HF920633.1_00043 hypothetical protein
OG0000004	OM037668.1_00077 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	OM037668.1_00013 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	OM037668.1_00057 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	OM037668.1_00041 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	OM037668.1_00123 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	OM037668.1_00124 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000010	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000011	OM037668.1_00098 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000012	OM037668.1_00009 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000013	OM037668.1_00090 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	OM037668.1_00084 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	OM037668.1_00073 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000016	OM037668.1_00078 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000017	OM037668.1_00004 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000018	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000019	OM037668.1_00021 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	OM037668.1_00089 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	OM037668.1_00080 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	OM037668.1_00076 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000023	OM037668.1_00113 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000025	OM037668.1_00024 hypothetical protein	HF920633.1_00047 hypothetical protein
OG0000136	OM037668.1_00068 Thymidylate synthase	HF920633.1_00156 Thymidylate synthase
