Orthogroup	Rana_SGIV_AY521625.1	Lymph_LDV1_L63545.1
OG0000000	Rana_SGIV_AY521625.1_00091	Lymph_LDV1_L63545.1_00007
OG0000001	Rana_SGIV_AY521625.1_00064	Lymph_LDV1_L63545.1_00079
OG0000002	Rana_SGIV_AY521625.1_00077	Lymph_LDV1_L63545.1_00035
OG0000003	Rana_SGIV_AY521625.1_00130	Lymph_LDV1_L63545.1_00076
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	Lymph_LDV1_L63545.1_00001
OG0000005	Rana_SGIV_AY521625.1_00016	Lymph_LDV1_L63545.1_00090
OG0000006	Rana_SGIV_AY521625.1_00085	Lymph_LDV1_L63545.1_00108
OG0000007	Rana_SGIV_AY521625.1_00051	Lymph_LDV1_L63545.1_00093
OG0000008	Rana_SGIV_AY521625.1_00142	Lymph_LDV1_L63545.1_00024
OG0000009	Rana_SGIV_AY521625.1_00100	Lymph_LDV1_L63545.1_00056
OG0000011	Rana_SGIV_AY521625.1_00086	Lymph_LDV1_L63545.1_00009
OG0000012	Rana_SGIV_AY521625.1_00065	Lymph_LDV1_L63545.1_00013
OG0000013	Rana_SGIV_AY521625.1_00047	Lymph_LDV1_L63545.1_00068
OG0000014	Rana_SGIV_AY521625.1_00073	Lymph_LDV1_L63545.1_00073
OG0000015	Rana_SGIV_AY521625.1_00074	Lymph_LDV1_L63545.1_00098
OG0000016	Rana_SGIV_AY521625.1_00110	Lymph_LDV1_L63545.1_00071
OG0000017	Rana_SGIV_AY521625.1_00048	Lymph_LDV1_L63545.1_00004
OG0000018	Rana_SGIV_AY521625.1_00115	Lymph_LDV1_L63545.1_00030
OG0000019	Rana_SGIV_AY521625.1_00053	Lymph_LDV1_L63545.1_00069
OG0000020	Rana_SGIV_AY521625.1_00035	Lymph_LDV1_L63545.1_00110
OG0000021	Rana_SGIV_AY521625.1_00059	Lymph_LDV1_L63545.1_00072
OG0000022	Rana_SGIV_AY521625.1_00054	Lymph_LDV1_L63545.1_00043
OG0000023	Rana_SGIV_AY521625.1_00062	Lymph_LDV1_L63545.1_00054
OG0000024	Rana_SGIV_AY521625.1_00042	Lymph_LDV1_L63545.1_00015
OG0000026	Rana_SGIV_AY521625.1_00060	Lymph_LDV1_L63545.1_00002
OG0000027	Rana_SGIV_AY521625.1_00022	Lymph_LDV1_L63545.1_00058
OG0000113	Rana_SGIV_AY521625.1_00036	Lymph_LDV1_L63545.1_00042
OG0000133	Rana_SGIV_AY521625.1_00102	Lymph_LDV1_L63545.1_00016
OG0000134	Rana_SGIV_AY521625.1_00098	Lymph_LDV1_L63545.1_00092
OG0000137	Rana_SGIV_AY521625.1_00056	Lymph_LDV1_L63545.1_00100
OG0000150	Rana_SGIV_AY521625.1_00002	Lymph_LDV1_L63545.1_00085
OG0000152	Rana_SGIV_AY521625.1_00018	Lymph_LDV1_L63545.1_00018
OG0000160	Rana_SGIV_AY521625.1_00126	Lymph_LDV1_L63545.1_00055
OG0000165	Rana_SGIV_AY521625.1_00140	Lymph_LDV1_L63545.1_00048
OG0000166	Rana_SGIV_AY521625.1_00005	Lymph_LDV1_L63545.1_00066
OG0000177	Rana_SGIV_AY521625.1_00011	Lymph_LDV1_L63545.1_00091
OG0000205	Rana_SGIV_AY521625.1_00066	Lymph_LDV1_L63545.1_00106
OG0000231	Rana_SGIV_AY521625.1_00057	Lymph_LDV1_L63545.1_00082
OG0000234	Rana_SGIV_AY521625.1_00061	Lymph_LDV1_L63545.1_00021
OG0000235	Rana_SGIV_AY521625.1_00094	Lymph_LDV1_L63545.1_00109
OG0000237	Rana_SGIV_AY521625.1_00128	Lymph_LDV1_L63545.1_00032
OG0000238	Rana_SGIV_AY521625.1_00023	Lymph_LDV1_L63545.1_00025
OG0000239	Rana_SGIV_AY521625.1_00116	Lymph_LDV1_L63545.1_00022
OG0000297	Rana_SGIV_AY521625.1_00055	Lymph_LDV1_L63545.1_00067
OG0000299	Rana_SGIV_AY521625.1_00010	Lymph_LDV1_L63545.1_00061
