Orthogroup	MF599468	NC_005946
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	NC_005946.1_00010 hypothetical protein
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	NC_005946.1_00053 hypothetical protein
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	NC_005946.1_00057 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	NC_005946.1_00095 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	NC_005946.1_00092 hypothetical protein
OG0000005	MF599468.1_00116 MF599468.1 - hypothetical protein translation	NC_005946.1_00038 hypothetical protein
OG0000006	MF599468.1_00152 MF599468.1 - Major capsid protein translation	NC_005946.1_00091 Major capsid protein
OG0000007	MF599468.1_00112 MF599468.1 - hypothetical protein translation	NC_005946.1_00060 hypothetical protein
OG0000008	MF599468.1_00090 MF599468.1 - hypothetical protein translation	NC_005946.1_00083 hypothetical protein
OG0000009	MF599468.1_00035 MF599468.1 - hypothetical protein translation	NC_005946.1_00087 hypothetical protein
OG0000010	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000011	MF599468.1_00033 MF599468.1 - hypothetical protein translation	NC_005946.1_00022 hypothetical protein
OG0000012	MF599468.1_00149 MF599468.1 - hypothetical protein translation	NC_005946.1_00011 hypothetical protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	NC_005946.1_00094 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	NC_005946.1_00002 hypothetical protein
OG0000015	MF599468.1_00117 MF599468.1 - hypothetical protein translation	NC_005946.1_00023 hypothetical protein
OG0000016	MF599468.1_00122 MF599468.1 - hypothetical protein translation	NC_005946.1_00016 hypothetical protein
OG0000017	MF599468.1_00009 MF599468.1 - hypothetical protein translation	NC_005946.1_00021 hypothetical protein
OG0000019	MF599468.1_00010 MF599468.1 - hypothetical protein translation	NC_005946.1_00042 hypothetical protein
OG0000020	MF599468.1_00046 MF599468.1 - hypothetical protein translation	NC_005946.1_00082 hypothetical protein
OG0000021	MF599468.1_00154 MF599468.1 - hypothetical protein translation	NC_005946.1_00014 hypothetical protein
OG0000022	MF599468.1_00092 MF599468.1 - hypothetical protein translation	NC_005946.1_00028 hypothetical protein
OG0000126	MF599468.1_00096 MF599468.1 - hypothetical protein translation, MF599468.1_00036 MF599468.1 - hypothetical protein translation	NC_005946.1_00020 hypothetical protein
OG0000132	MF599468.1_00002 MF599468.1 - hypothetical protein translation	NC_005946.1_00001 hypothetical protein
OG0000140	MF599468.1_00161 MF599468.1 - hypothetical protein translation	NC_005946.1_00054 hypothetical protein
OG0000149	MF599468.1_00142 MF599468.1 - Deoxyuridine	NC_005946.1_00063 Deoxyuridine
OG0000152	MF599468.1_00060 MF599468.1 - hypothetical protein translation	NC_005946.1_00044 hypothetical protein
OG0000155	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation	NC_005946.1_00075 hypothetical protein
OG0000165	MF599468.1_00081 MF599468.1 - hypothetical protein translation	NC_005946.1_00004 hypothetical protein
OG0000171	MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation	NC_005946.1_00033 hypothetical protein
OG0000197	MF599468.1_00006 MF599468.1 - hypothetical protein translation	NC_005946.1_00062 hypothetical protein
