Orthogroup	Decap_MF599468.1	Chlor_IIV22_HF920633.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Chlor_IIV22_HF920633.1_00044
OG0000001	Decap_MF599468.1_00152	Chlor_IIV22_HF920633.1_00073
OG0000002	Decap_MF599468.1_00163	Chlor_IIV22_HF920633.1_00069
OG0000003	Decap_MF599468.1_00011	Chlor_IIV22_HF920633.1_00127
OG0000004	Decap_MF599468.1_00092	Chlor_IIV22_HF920633.1_00079
OG0000005	Decap_MF599468.1_00174	Chlor_IIV22_HF920633.1_00091
OG0000006	Decap_MF599468.1_00030	Chlor_IIV22_HF920633.1_00043
OG0000007	Decap_MF599468.1_00010	Chlor_IIV22_HF920633.1_00025
OG0000008	Decap_MF599468.1_00075	Chlor_IIV22_HF920633.1_00122
OG0000009	Decap_MF599468.1_00154	Chlor_IIV22_HF920633.1_00085
OG0000011	Decap_MF599468.1_00106	Chlor_IIV22_HF920633.1_00163
OG0000012	Decap_MF599468.1_00071	Chlor_IIV22_HF920633.1_00175
OG0000013	Decap_MF599468.1_00117	Chlor_IIV22_HF920633.1_00003
OG0000014	Decap_MF599468.1_00046	Chlor_IIV22_HF920633.1_00094
OG0000015	Decap_MF599468.1_00090	Chlor_IIV22_HF920633.1_00080
OG0000016	Decap_MF599468.1_00112	Chlor_IIV22_HF920633.1_00001
OG0000017	Decap_MF599468.1_00033	Chlor_IIV22_HF920633.1_00067
OG0000018	Decap_MF599468.1_00122	Chlor_IIV22_HF920633.1_00138
OG0000019	Decap_MF599468.1_00149	Chlor_IIV22_HF920633.1_00118
OG0000020	Decap_MF599468.1_00009	Chlor_IIV22_HF920633.1_00058
OG0000021	Decap_MF599468.1_00035	Chlor_IIV22_HF920633.1_00158
OG0000022	Decap_MF599468.1_00116	Chlor_IIV22_HF920633.1_00097
OG0000023	Decap_MF599468.1_00171	Chlor_IIV22_HF920633.1_00017
OG0000113	Decap_MF599468.1_00096	Chlor_IIV22_HF920633.1_00086
OG0000113	Decap_MF599468.1_00045	Chlor_IIV22_HF920633.1_00145
OG0000122	Decap_MF599468.1_00024, Decap_MF599468.1_00104, Decap_MF599468.1_00101, Decap_MF599468.1_00023, Decap_MF599468.1_00038, Decap_MF599468.1_00070, Decap_MF599468.1_00145, Decap_MF599468.1_00054, Decap_MF599468.1_00055, Decap_MF599468.1_00091, Decap_MF599468.1_00128, Decap_MF599468.1_00103, Decap_MF599468.1_00029, Decap_MF599468.1_00099, Decap_MF599468.1_00100, Decap_MF599468.1_00114, Decap_MF599468.1_00102	Chlor_IIV22_HF920633.1_00116
OG0000133	Decap_MF599468.1_00027	Chlor_IIV22_HF920633.1_00064
OG0000134	Decap_MF599468.1_00002	Chlor_IIV22_HF920633.1_00135
OG0000138	Decap_MF599468.1_00051	Chlor_IIV22_HF920633.1_00053
OG0000148	Decap_MF599468.1_00161	Chlor_IIV22_HF920633.1_00026
OG0000152	Decap_MF599468.1_00060	Chlor_IIV22_HF920633.1_00024
OG0000154	Decap_MF599468.1_00074	Chlor_IIV22_HF920633.1_00036
OG0000156	Decap_MF599468.1_00142	Chlor_IIV22_HF920633.1_00106
OG0000168	Decap_MF599468.1_00081	Chlor_IIV22_HF920633.1_00144
OG0000169	Decap_MF599468.1_00141	Chlor_IIV22_HF920633.1_00134
OG0000170	Decap_MF599468.1_00162	Chlor_IIV22_HF920633.1_00082
OG0000171	Decap_MF599468.1_00004	Chlor_IIV22_HF920633.1_00105
OG0000172	Decap_MF599468.1_00105	Chlor_IIV22_HF920633.1_00177
OG0000173	Decap_MF599468.1_00067	Chlor_IIV22_HF920633.1_00169
OG0000174	Decap_MF599468.1_00155	Chlor_IIV22_HF920633.1_00046
OG0000186	Decap_MF599468.1_00037	Chlor_IIV22_HF920633.1_00165
OG0000188	Decap_MF599468.1_00172	Chlor_IIV22_HF920633.1_00056
OG0000189	Decap_MF599468.1_00052, Decap_MF599468.1_00061	Chlor_IIV22_HF920633.1_00032
OG0000191	Decap_MF599468.1_00065	Chlor_IIV22_HF920633.1_00098
OG0000193	Decap_MF599468.1_00025	Chlor_IIV22_HF920633.1_00103
OG0000195	Decap_MF599468.1_00129	Chlor_IIV22_HF920633.1_00128
OG0000196	Decap_MF599468.1_00022	Chlor_IIV22_HF920633.1_00110
OG0000197	Decap_MF599468.1_00015	Chlor_IIV22_HF920633.1_00120
OG0000200	Decap_MF599468.1_00079	Chlor_IIV22_HF920633.1_00149
OG0000201	Decap_MF599468.1_00044	Chlor_IIV22_HF920633.1_00123
OG0000202	Decap_MF599468.1_00125	Chlor_IIV22_HF920633.1_00125
OG0000203	Decap_MF599468.1_00043	Chlor_IIV22_HF920633.1_00022
