Orthogroup	MCV_MP1_RBIV_AY532606.1	Lymph_LCD4_MN803438.1
OG0000000	MCV_MP1_RBIV_AY532606.1_00030	Lymph_LCD4_MN803438.1_00124
OG0000001	MCV_MP1_RBIV_AY532606.1_00006	Lymph_LCD4_MN803438.1_00023
OG0000002	MCV_MP1_RBIV_AY532606.1_00007	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	MCV_MP1_RBIV_AY532606.1_00014	Lymph_LCD4_MN803438.1_00113
OG0000004	MCV_MP1_RBIV_AY532606.1_00116, MCV_MP1_RBIV_AY532606.1_00117	Lymph_LCD4_MN803438.1_00104
OG0000005	MCV_MP1_RBIV_AY532606.1_00093	Lymph_LCD4_MN803438.1_00027
OG0000006	MCV_MP1_RBIV_AY532606.1_00029	Lymph_LCD4_MN803438.1_00106
OG0000007	MCV_MP1_RBIV_AY532606.1_00078	Lymph_LCD4_MN803438.1_00142
OG0000008	MCV_MP1_RBIV_AY532606.1_00120, MCV_MP1_RBIV_AY532606.1_00119	Lymph_LCD4_MN803438.1_00109
OG0000009	MCV_MP1_RBIV_AY532606.1_00099, MCV_MP1_RBIV_AY532606.1_00098	Lymph_LCD4_MN803438.1_00071
OG0000011	MCV_MP1_RBIV_AY532606.1_00088	Lymph_LCD4_MN803438.1_00097
OG0000012	MCV_MP1_RBIV_AY532606.1_00035	Lymph_LCD4_MN803438.1_00013
OG0000013	MCV_MP1_RBIV_AY532606.1_00111	Lymph_LCD4_MN803438.1_00051
OG0000014	MCV_MP1_RBIV_AY532606.1_00089	Lymph_LCD4_MN803438.1_00122
OG0000015	MCV_MP1_RBIV_AY532606.1_00031	Lymph_LCD4_MN803438.1_00068
OG0000016	MCV_MP1_RBIV_AY532606.1_00020	Lymph_LCD4_MN803438.1_00128
OG0000017	MCV_MP1_RBIV_AY532606.1_00057	Lymph_LCD4_MN803438.1_00007
OG0000018	MCV_MP1_RBIV_AY532606.1_00125	Lymph_LCD4_MN803438.1_00070
OG0000019	MCV_MP1_RBIV_AY532606.1_00064	Lymph_LCD4_MN803438.1_00049
OG0000020	MCV_MP1_RBIV_AY532606.1_00126	Lymph_LCD4_MN803438.1_00046
OG0000021	MCV_MP1_RBIV_AY532606.1_00033	Lymph_LCD4_MN803438.1_00035
OG0000022	MCV_MP1_RBIV_AY532606.1_00004	Lymph_LCD4_MN803438.1_00089
OG0000024	MCV_MP1_RBIV_AY532606.1_00026	Lymph_LCD4_MN803438.1_00024
OG0000026	MCV_MP1_RBIV_AY532606.1_00114	Lymph_LCD4_MN803438.1_00126
OG0000027	MCV_MP1_RBIV_AY532606.1_00090	Lymph_LCD4_MN803438.1_00037
OG0000028	MCV_MP1_RBIV_AY532606.1_00047	Lymph_LCD4_MN803438.1_00054
OG0000030	MCV_MP1_RBIV_AY532606.1_00005	Lymph_LCD4_MN803438.1_00145
