Orthogroup	KF938901.1	OK042108.1
OG0000000	KF938901.1_00126	OK042108.1_00047
OG0000001	KF938901.1_00080	OK042108.1_00068
OG0000002	KF938901.1_00044	OK042108.1_00069
OG0000003	KF938901.1_00005	OK042108.1_00062
OG0000004	KF938901.1_00043	OK042108.1_00087
OG0000005	KF938901.1_00125	OK042108.1_00104
OG0000006	KF938901.1_00072	OK042108.1_00001
OG0000007	KF938901.1_00053	OK042108.1_00109
OG0000008	KF938901.1_00067	OK042108.1_00048
OG0000009	KF938901.1_00114	OK042108.1_00085
OG0000011	KF938901.1_00092	OK042108.1_00013
OG0000012	KF938901.1_00054	OK042108.1_00055
OG0000013	KF938901.1_00060	OK042108.1_00020
OG0000014	KF938901.1_00074	OK042108.1_00077
OG0000015	KF938901.1_00095	OK042108.1_00076
OG0000016	KF938901.1_00046	OK042108.1_00112
OG0000017	KF938901.1_00123	OK042108.1_00044
OG0000018	KF938901.1_00025	OK042108.1_00092
OG0000019	KF938901.1_00012	OK042108.1_00113
OG0000020	KF938901.1_00047	OK042108.1_00046
OG0000021	KF938901.1_00124	OK042108.1_00070
OG0000022	KF938901.1_00023	OK042108.1_00042
OG0000023	KF938901.1_00031	OK042108.1_00033
OG0000024	KF938901.1_00094	OK042108.1_00050
OG0000025	KF938901.1_00093	OK042108.1_00012
