Orthogroup	MN562489	AF303741
OG0000000	OM037668.1_00035 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000002	OM037668.1_00056 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	AF303741.1_00165 hypothetical protein
OG0000004	OM037668.1_00077 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	OM037668.1_00009 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000006	OM037668.1_00041 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000007	OM037668.1_00098 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000008	OM037668.1_00078 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000009	OM037668.1_00004 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000010	OM037668.1_00124 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000011	OM037668.1_00073 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000012	OM037668.1_00057 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000013	OM037668.1_00090 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000014	OM037668.1_00084 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000015	OM037668.1_00123 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000016	OM037668.1_00013 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000017	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000018	OM037668.1_00089 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000019	OM037668.1_00076 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000020	OM037668.1_00080 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000021	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000022	OM037668.1_00113 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000023	OM037668.1_00021 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000026	OM037668.1_00024 hypothetical protein	AF303741.1_00051 Dual specificity protein phosphatase H1
OG0000135	OM037668.1_00068 Thymidylate synthase	AF303741.1_00101 Thymidylate synthase
OG0000175	OM037668.1_00022 hypothetical protein	AF303741.1_00009 hypothetical protein
OG0000182	OM037668.1_00023 hypothetical protein	AF303741.1_00117 hypothetical protein
