Orthogroup	NC_005946.1	LS484712.1
OG0000000	NC_005946.1_00010	LS484712.1_00114
OG0000001	NC_005946.1_00091	LS484712.1_00142
OG0000003	NC_005946.1_00053	LS484712.1_00095
OG0000004	NC_005946.1_00057	LS484712.1_00187
OG0000005	NC_005946.1_00095	LS484712.1_00248
OG0000006	NC_005946.1_00042	LS484712.1_00040
OG0000007	NC_005946.1_00002	LS484712.1_00234, LS484712.1_00050
OG0000009	NC_005946.1_00092	LS484712.1_00130
OG0000010	NC_005946.1_00038	LS484712.1_00096
OG0000011	NC_005946.1_00060	LS484712.1_00200
OG0000012	NC_005946.1_00083	LS484712.1_00188
OG0000013	NC_005946.1_00087	LS484712.1_00240
OG0000014	NC_005946.1_00061	LS484712.1_00194
OG0000015	NC_005946.1_00022	LS484712.1_00143
OG0000016	NC_005946.1_00011	LS484712.1_00203
OG0000017	NC_005946.1_00094	LS484712.1_00192
OG0000018	NC_005946.1_00082	LS484712.1_00048
OG0000019	NC_005946.1_00023	LS484712.1_00053
OG0000020	NC_005946.1_00016	LS484712.1_00202
OG0000021	NC_005946.1_00021	LS484712.1_00135
OG0000022	NC_005946.1_00089	LS484712.1_00117
OG0000137	NC_005946.1_00001	LS484712.1_00057
OG0000138	NC_005946.1_00079	LS484712.1_00197
OG0000147	NC_005946.1_00067	LS484712.1_00149
OG0000148	NC_005946.1_00039	LS484712.1_00251
OG0000154	NC_005946.1_00054	LS484712.1_00133
