Orthogroup	MN432490.1	MK689686.1
OG0000000	MN432490.1_00032	MK689686.1_00029
OG0000001	MN432490.1_00008	MK689686.1_00008
OG0000002	MN432490.1_00007	MK689686.1_00007
OG0000003	MN432490.1_00015	MK689686.1_00014
OG0000004	MN432490.1_00113	MK689686.1_00110
OG0000005	MN432490.1_00097	MK689686.1_00093
OG0000006	MN432490.1_00078	MK689686.1_00074
OG0000007	MN432490.1_00092	MK689686.1_00088
OG0000008	MN432490.1_00031	MK689686.1_00028
OG0000009	MN432490.1_00114	MK689686.1_00112
OG0000010	MN432490.1_00079	MK689686.1_00075
OG0000011	MN432490.1_00064	MK689686.1_00062
OG0000012	MN432490.1_00023	MK689686.1_00021
OG0000013	MN432490.1_00058	MK689686.1_00056
OG0000014	MN432490.1_00122	MK689686.1_00120
OG0000015	MN432490.1_00123	MK689686.1_00121
OG0000016	MN432490.1_00089	MK689686.1_00085
OG0000017	MN432490.1_00035	MK689686.1_00032
OG0000018	MN432490.1_00108	MK689686.1_00105
OG0000019	MN432490.1_00088	MK689686.1_00084
OG0000020	MN432490.1_00033	MK689686.1_00030
OG0000021	MN432490.1_00005	MK689686.1_00005
OG0000022	MN432490.1_00037	MK689686.1_00034
OG0000023	MN432490.1_00046	MK689686.1_00043
OG0000024	MN432490.1_00028	MK689686.1_00025
OG0000025	MN432490.1_00065	MK689686.1_00063
OG0000026	MN432490.1_00111	MK689686.1_00108
OG0000027	MN432490.1_00090	MK689686.1_00086
OG0000028	MN432490.1_00049	MK689686.1_00046
OG0000029	MN432490.1_00062	MK689686.1_00060
OG0000030	MN432490.1_00001	MK689686.1_00001
OG0000031	MN432490.1_00006	MK689686.1_00006
OG0000032	MN432490.1_00083	MK689686.1_00079
OG0000033	MN432490.1_00091	MK689686.1_00087
OG0000034	MN432490.1_00124	MK689686.1_00122
OG0000035	MN432490.1_00013	MK689686.1_00012
OG0000036	MN432490.1_00014	MK689686.1_00013
OG0000037	MN432490.1_00019	MK689686.1_00018
OG0000038	MN432490.1_00020	MK689686.1_00019
