Orthogroup	GQ273492.1	MF599468.1
OG0000000	GQ273492.1_00030	MF599468.1_00057, MF599468.1_00056
OG0000001	GQ273492.1_00008	MF599468.1_00163
OG0000002	GQ273492.1_00007	MF599468.1_00152
OG0000003	GQ273492.1_00015	MF599468.1_00011
OG0000004	GQ273492.1_00108	MF599468.1_00092
OG0000005	GQ273492.1_00092	MF599468.1_00154
OG0000006	GQ273492.1_00073	MF599468.1_00010
OG0000007	GQ273492.1_00087	MF599468.1_00174
OG0000008	GQ273492.1_00029	MF599468.1_00030
OG0000009	GQ273492.1_00110	MF599468.1_00075
OG0000011	GQ273492.1_00063	MF599468.1_00149
OG0000012	GQ273492.1_00022	MF599468.1_00112
OG0000013	GQ273492.1_00056	MF599468.1_00033
OG0000014	GQ273492.1_00118	MF599468.1_00122
OG0000015	GQ273492.1_00119	MF599468.1_00009
OG0000016	GQ273492.1_00084	MF599468.1_00046
OG0000017	GQ273492.1_00033	MF599468.1_00035
OG0000018	GQ273492.1_00103	MF599468.1_00117
OG0000019	GQ273492.1_00083	MF599468.1_00106
OG0000020	GQ273492.1_00031	MF599468.1_00090
OG0000021	GQ273492.1_00005	MF599468.1_00116
OG0000022	GQ273492.1_00035	MF599468.1_00071
OG0000023	GQ273492.1_00044	MF599468.1_00171
OG0000026	GQ273492.1_00106	MF599468.1_00039
OG0000047	GQ273492.1_00057	MF599468.1_00013
OG0000069	GQ273492.1_00095	MF599468.1_00131
