	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
Number of genes	158	178	281	175	221	204	145	110	135	136	135	133	124	122	121	123	120	123	131	125	124	123	125	125	124	121	124	127	123	123	122	125	122	123	123	125	127	120	120	120	120	122	124	97	141
Number of genes in orthogroups	133	153	122	109	173	165	118	101	135	135	133	133	124	122	121	123	120	122	127	125	124	123	125	125	124	121	124	124	123	123	122	124	122	123	123	125	126	120	118	118	120	122	122	71	96
Number of unassigned genes	25	25	159	66	48	39	27	9	0	1	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	2	2	0	0	2	26	45
Percentage of genes in orthogroups	84.2	86.0	43.4	62.3	78.3	80.9	81.4	91.8	100.0	99.3	98.5	100.0	100.0	100.0	100.0	100.0	100.0	99.2	96.9	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.6	100.0	100.0	100.0	99.2	100.0	100.0	100.0	100.0	99.2	100.0	98.3	98.3	100.0	100.0	98.4	73.2	68.1
Percentage of unassigned genes	15.8	14.0	56.6	37.7	21.7	19.1	18.6	8.2	0.0	0.7	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.8	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.8	0.0	1.7	1.7	0.0	0.0	1.6	26.8	31.9
Number of orthogroups containing species	119	131	69	69	139	144	102	94	128	128	122	126	124	122	121	123	120	122	120	125	124	123	125	124	124	121	124	120	123	121	122	122	122	123	123	124	126	120	118	117	119	122	118	70	77
Percentage of orthogroups containing species	25.3	27.8	14.6	14.6	29.5	30.6	21.7	20.0	27.2	27.2	25.9	26.8	26.3	25.9	25.7	26.1	25.5	25.9	25.5	26.5	26.3	26.1	26.5	26.3	26.3	25.7	26.3	25.5	26.1	25.7	25.9	25.9	25.9	26.1	26.1	26.3	26.8	25.5	25.1	24.8	25.3	25.9	25.1	14.9	16.3
Number of species-specific orthogroups	0	0	18	6	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
Number of genes in species-specific orthogroups	0	0	70	24	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23
Percentage of genes in species-specific orthogroups	0.0	0.0	24.9	13.7	3.6	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	16.3
