Orthogroup	L63545.1	MW139932.1
OG0000000	L63545.1_00007	MW139932.1_00033
OG0000001	L63545.1_00035	MW139932.1_00008
OG0000002	L63545.1_00079	MW139932.1_00007
OG0000003	L63545.1_00076	MW139932.1_00015
OG0000004	L63545.1_00001	MW139932.1_00113
OG0000005	L63545.1_00056	MW139932.1_00096
OG0000006	L63545.1_00093	MW139932.1_00077
OG0000007	L63545.1_00090	MW139932.1_00091
OG0000008	L63545.1_00108	MW139932.1_00032
OG0000009	L63545.1_00024	MW139932.1_00115
OG0000011	L63545.1_00069	MW139932.1_00065
OG0000012	L63545.1_00071	MW139932.1_00023
OG0000013	L63545.1_00004	MW139932.1_00059
OG0000014	L63545.1_00030	MW139932.1_00123
OG0000015	L63545.1_00110	MW139932.1_00124
OG0000016	L63545.1_00073	MW139932.1_00088
OG0000017	L63545.1_00072	MW139932.1_00036
OG0000018	L63545.1_00068	MW139932.1_00108
OG0000019	L63545.1_00009	MW139932.1_00087
OG0000020	L63545.1_00098	MW139932.1_00034
OG0000021	L63545.1_00043	MW139932.1_00005
OG0000022	L63545.1_00013	MW139932.1_00038
OG0000023	L63545.1_00054	MW139932.1_00047
OG0000024	L63545.1_00015	MW139932.1_00029
OG0000026	L63545.1_00002	MW139932.1_00111
OG0000027	L63545.1_00058	MW139932.1_00089
OG0000028	L63545.1_00003	MW139932.1_00050
