Orthogroup	KF938901.1	OL774655.1
OG0000000	KF938901.1_00126	OL774655.1_00034
OG0000001	KF938901.1_00044	OL774655.1_00007
OG0000003	KF938901.1_00080	OL774655.1_00008
OG0000004	KF938901.1_00005	OL774655.1_00015
OG0000005	KF938901.1_00067	OL774655.1_00033
OG0000006	KF938901.1_00072	OL774655.1_00078
OG0000007	KF938901.1_00053	OL774655.1_00091
OG0000008	KF938901.1_00043	OL774655.1_00113
OG0000009	KF938901.1_00114	OL774655.1_00115
OG0000010	KF938901.1_00124	OL774655.1_00005
OG0000011	KF938901.1_00054	OL774655.1_00022
OG0000012	KF938901.1_00047	OL774655.1_00035
OG0000013	KF938901.1_00123	OL774655.1_00037
OG0000014	KF938901.1_00023	OL774655.1_00039
OG0000015	KF938901.1_00060	OL774655.1_00060
OG0000016	KF938901.1_00092	OL774655.1_00066
OG0000017	KF938901.1_00012	OL774655.1_00087
OG0000018	KF938901.1_00046	OL774655.1_00088
OG0000019	KF938901.1_00025	OL774655.1_00108
OG0000020	KF938901.1_00074	OL774655.1_00123
OG0000021	KF938901.1_00095	OL774655.1_00124
OG0000022	KF938901.1_00031	OL774655.1_00048
OG0000025	KF938901.1_00093	OL774655.1_00067
