Orthogroup	LS484712	GQ273492
OG0000000	LS484712.1_00114 hypothetical protein	GQ273492.1_00030 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	GQ273492.1_00008 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	GQ273492.1_00015 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	GQ273492.1_00029 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	GQ273492.1_00110 hypothetical protein
OG0000005	LS484712.1_00096 hypothetical protein	GQ273492.1_00005 hypothetical protein
OG0000006	LS484712.1_00142 Major capsid protein	GQ273492.1_00007 Major capsid protein
OG0000007	LS484712.1_00200 hypothetical protein	GQ273492.1_00022 hypothetical protein
OG0000008	LS484712.1_00188 hypothetical protein	GQ273492.1_00031 hypothetical protein
OG0000009	LS484712.1_00240 hypothetical protein	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase
OG0000010	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein
OG0000011	LS484712.1_00143 hypothetical protein	GQ273492.1_00056 hypothetical protein
OG0000012	LS484712.1_00203 hypothetical protein	GQ273492.1_00063 hypothetical protein
OG0000013	LS484712.1_00192 hypothetical protein	GQ273492.1_00083 hypothetical protein
OG0000014	LS484712.1_00050 hypothetical protein	GQ273492.1_00087 hypothetical protein
OG0000015	LS484712.1_00053 hypothetical protein	GQ273492.1_00103 hypothetical protein
OG0000016	LS484712.1_00202 hypothetical protein	GQ273492.1_00118 hypothetical protein
OG0000017	LS484712.1_00135 hypothetical protein	GQ273492.1_00119 hypothetical protein
OG0000018	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	LS484712.1_00040 hypothetical protein	GQ273492.1_00073 hypothetical protein
OG0000023	LS484712.1_00117 hypothetical protein	GQ273492.1_00044 hypothetical protein
OG0000065	LS484712.1_00002 hypothetical protein	GQ273492.1_00066 hypothetical protein
