Orthogroup	KF938901.1	MN562489.1
OG0000000	KF938901.1_00126	MN562489.1_00102
OG0000001	KF938901.1_00044	MN562489.1_00080
OG0000003	KF938901.1_00080	MN562489.1_00081
OG0000004	KF938901.1_00005	MN562489.1_00087
OG0000005	KF938901.1_00067	MN562489.1_00099
OG0000006	KF938901.1_00072	MN562489.1_00116
OG0000007	KF938901.1_00053	MN562489.1_00052
OG0000008	KF938901.1_00043	MN562489.1_00060
OG0000009	KF938901.1_00114	MN562489.1_00059
OG0000010	KF938901.1_00124	MN562489.1_00124
OG0000011	KF938901.1_00054	MN562489.1_00096
OG0000012	KF938901.1_00047	MN562489.1_00012
OG0000013	KF938901.1_00123	MN562489.1_00011
OG0000014	KF938901.1_00023	MN562489.1_00008
OG0000015	KF938901.1_00060	MN562489.1_00038
OG0000016	KF938901.1_00092	MN562489.1_00128
OG0000017	KF938901.1_00012	MN562489.1_00046
OG0000018	KF938901.1_00046	MN562489.1_00047
OG0000019	KF938901.1_00025	MN562489.1_00063
OG0000020	KF938901.1_00074	MN562489.1_00058
OG0000021	KF938901.1_00095	MN562489.1_00133
OG0000022	KF938901.1_00031	MN562489.1_00023
OG0000025	KF938901.1_00093	MN562489.1_00113
OG0000149	KF938901.1_00108	MN562489.1_00069
