Orthogroup	MCV_ML1_SDDV_MT521409.1	Chlor_IIV22_HF920633.1
OG0000000	MCV_ML1_SDDV_MT521409.1_00103	Chlor_IIV22_HF920633.1_00044
OG0000001	MCV_ML1_SDDV_MT521409.1_00081	Chlor_IIV22_HF920633.1_00073
OG0000002	MCV_ML1_SDDV_MT521409.1_00082	Chlor_IIV22_HF920633.1_00069
OG0000003	MCV_ML1_SDDV_MT521409.1_00088	Chlor_IIV22_HF920633.1_00127
OG0000004	MCV_ML1_SDDV_MT521409.1_00061	Chlor_IIV22_HF920633.1_00079
OG0000005	MCV_ML1_SDDV_MT521409.1_00053	Chlor_IIV22_HF920633.1_00091
OG0000006	MCV_ML1_SDDV_MT521409.1_00100	Chlor_IIV22_HF920633.1_00043
OG0000007	MCV_ML1_SDDV_MT521409.1_00117	Chlor_IIV22_HF920633.1_00025
OG0000008	MCV_ML1_SDDV_MT521409.1_00060	Chlor_IIV22_HF920633.1_00122
OG0000009	MCV_ML1_SDDV_MT521409.1_00057	Chlor_IIV22_HF920633.1_00085
OG0000011	MCV_ML1_SDDV_MT521409.1_00047	Chlor_IIV22_HF920633.1_00163
OG0000012	MCV_ML1_SDDV_MT521409.1_00008	Chlor_IIV22_HF920633.1_00175
OG0000013	MCV_ML1_SDDV_MT521409.1_00064	Chlor_IIV22_HF920633.1_00003
OG0000014	MCV_ML1_SDDV_MT521409.1_00048	Chlor_IIV22_HF920633.1_00094
OG0000015	MCV_ML1_SDDV_MT521409.1_00012	Chlor_IIV22_HF920633.1_00080
OG0000016	MCV_ML1_SDDV_MT521409.1_00097	Chlor_IIV22_HF920633.1_00001
OG0000017	MCV_ML1_SDDV_MT521409.1_00039	Chlor_IIV22_HF920633.1_00067
OG0000018	MCV_ML1_SDDV_MT521409.1_00059	Chlor_IIV22_HF920633.1_00138
OG0000019	MCV_ML1_SDDV_MT521409.1_00129	Chlor_IIV22_HF920633.1_00118
OG0000020	MCV_ML1_SDDV_MT521409.1_00134	Chlor_IIV22_HF920633.1_00058
OG0000021	MCV_ML1_SDDV_MT521409.1_00011	Chlor_IIV22_HF920633.1_00158
OG0000022	MCV_ML1_SDDV_MT521409.1_00125	Chlor_IIV22_HF920633.1_00097
OG0000023	MCV_ML1_SDDV_MT521409.1_00024	Chlor_IIV22_HF920633.1_00017
OG0000024	MCV_ML1_SDDV_MT521409.1_00074	Chlor_IIV22_HF920633.1_00062
OG0000025	MCV_ML1_SDDV_MT521409.1_00114	Chlor_IIV22_HF920633.1_00047
OG0000139	MCV_ML1_SDDV_MT521409.1_00070	Chlor_IIV22_HF920633.1_00156
