Orthogroup	NC_005946.1	MG570132.1
OG0000000	NC_005946.1_00010	MG570132.1_00031
OG0000001	NC_005946.1_00091	MG570132.1_00007, MG570132.1_00008
OG0000003	NC_005946.1_00053	MG570132.1_00009
OG0000004	NC_005946.1_00057	MG570132.1_00016
OG0000005	NC_005946.1_00095	MG570132.1_00030
OG0000006	NC_005946.1_00042	MG570132.1_00073
OG0000007	NC_005946.1_00002	MG570132.1_00087
OG0000008	NC_005946.1_00028	MG570132.1_00108
OG0000009	NC_005946.1_00092	MG570132.1_00110
OG0000010	NC_005946.1_00038	MG570132.1_00005
OG0000011	NC_005946.1_00060	MG570132.1_00023
OG0000012	NC_005946.1_00083	MG570132.1_00032
OG0000013	NC_005946.1_00087	MG570132.1_00034
OG0000014	NC_005946.1_00061	MG570132.1_00036
OG0000015	NC_005946.1_00022	MG570132.1_00057
OG0000016	NC_005946.1_00011	MG570132.1_00063
OG0000017	NC_005946.1_00094	MG570132.1_00083
OG0000018	NC_005946.1_00082	MG570132.1_00084
OG0000019	NC_005946.1_00023	MG570132.1_00103
OG0000020	NC_005946.1_00016	MG570132.1_00118
OG0000021	NC_005946.1_00021	MG570132.1_00119
OG0000022	NC_005946.1_00089	MG570132.1_00045
OG0000023	NC_005946.1_00014	MG570132.1_00092
OG0000024	NC_005946.1_00086	MG570132.1_00106
OG0000026	NC_005946.1_00049	MG570132.1_00085
OG0000027	NC_005946.1_00085	MG570132.1_00048
OG0000112	NC_005946.1_00006	MG570132.1_00077
