Orthogroup	MN562489	MN803438
OG0000000	OM037668.1_00035 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	OM037668.1_00056 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	MN803438.1_00106 hypothetical protein
OG0000004	OM037668.1_00077 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	OM037668.1_00013 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	OM037668.1_00057 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	OM037668.1_00041 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	OM037668.1_00123 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000010	OM037668.1_00098 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	OM037668.1_00009 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	OM037668.1_00090 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	OM037668.1_00084 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	OM037668.1_00073 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	OM037668.1_00078 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	OM037668.1_00004 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000018	OM037668.1_00124 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000019	OM037668.1_00021 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	OM037668.1_00089 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	OM037668.1_00080 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	OM037668.1_00076 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000023	OM037668.1_00129 hypothetical protein	MN803438.1_00145 hypothetical protein
OG0000024	OM037668.1_00113 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000026	OM037668.1_00087 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000027	OM037668.1_00074 hypothetical protein	MN803438.1_00126 hypothetical protein
OG0000028	OM037668.1_00110 hypothetical protein	MN803438.1_00054 hypothetical protein
OG0000119	OM037668.1_00062 hypothetical protein	MN803438.1_00082 hypothetical protein
OG0000133	OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2	MN803438.1_00022 Serine proteinase inhibitor 2
OG0000137	OM037668.1_00068 Thymidylate synthase	MN803438.1_00005 Thymidylate synthase
OG0000138	OM037668.1_00036 hypothetical protein	MN803438.1_00096 hypothetical protein, MN803438.1_00011 hypothetical protein
OG0000149	OM037668.1_00001 hypothetical protein	MN803438.1_00010 hypothetical protein
OG0000203	OM037668.1_00088 hypothetical protein	MN803438.1_00130 hypothetical protein
