Orthogroup	OQ475017.1	OP009387.1
OG0000000	OQ475017.1_00030	OP009387.1_00030
OG0000001	OQ475017.1_00008	OP009387.1_00008
OG0000002	OQ475017.1_00007	OP009387.1_00007
OG0000003	OQ475017.1_00015	OP009387.1_00015
OG0000004	OQ475017.1_00110	OP009387.1_00112
OG0000005	OQ475017.1_00093	OP009387.1_00095
OG0000006	OQ475017.1_00073	OP009387.1_00077
OG0000007	OQ475017.1_00087	OP009387.1_00091
OG0000008	OQ475017.1_00029	OP009387.1_00029
OG0000009	OQ475017.1_00112	OP009387.1_00113
OG0000010	OQ475017.1_00074	OP009387.1_00078
OG0000011	OQ475017.1_00062	OP009387.1_00064
OG0000012	OQ475017.1_00022	OP009387.1_00023
OG0000013	OQ475017.1_00056	OP009387.1_00057
OG0000014	OQ475017.1_00120	OP009387.1_00121
OG0000015	OQ475017.1_00121	OP009387.1_00122
OG0000016	OQ475017.1_00084	OP009387.1_00088
OG0000017	OQ475017.1_00033	OP009387.1_00033
OG0000018	OQ475017.1_00105	OP009387.1_00107
OG0000019	OQ475017.1_00083	OP009387.1_00087
OG0000020	OQ475017.1_00031	OP009387.1_00031
OG0000021	OQ475017.1_00005	OP009387.1_00005
OG0000022	OQ475017.1_00035	OP009387.1_00035
OG0000023	OQ475017.1_00044	OP009387.1_00044
OG0000024	OQ475017.1_00027	OP009387.1_00026
OG0000025	OQ475017.1_00063	OP009387.1_00065
OG0000026	OQ475017.1_00108	OP009387.1_00110
OG0000027	OQ475017.1_00085	OP009387.1_00089
OG0000028	OQ475017.1_00047	OP009387.1_00047
OG0000029	OQ475017.1_00060	OP009387.1_00062
OG0000030	OQ475017.1_00001	OP009387.1_00001
OG0000031	OQ475017.1_00006	OP009387.1_00006
OG0000032	OQ475017.1_00078	OP009387.1_00082
OG0000033	OQ475017.1_00086	OP009387.1_00090
OG0000034	OQ475017.1_00122	OP009387.1_00123
OG0000035	OQ475017.1_00013	OP009387.1_00013
OG0000036	OQ475017.1_00014	OP009387.1_00014
OG0000037	OQ475017.1_00019	OP009387.1_00019
OG0000038	OQ475017.1_00020	OP009387.1_00020
OG0000039	OQ475017.1_00023	OP009387.1_00024
OG0000040	OQ475017.1_00024	OP009387.1_00025
OG0000041	OQ475017.1_00032	OP009387.1_00032
OG0000042	OQ475017.1_00036	OP009387.1_00036
OG0000043	OQ475017.1_00048	OP009387.1_00049
OG0000044	OQ475017.1_00049	OP009387.1_00050
OG0000045	OQ475017.1_00054	OP009387.1_00055
OG0000046	OQ475017.1_00055	OP009387.1_00056
OG0000047	OQ475017.1_00057	OP009387.1_00058
OG0000048	OQ475017.1_00058	OP009387.1_00060
OG0000049	OQ475017.1_00059	OP009387.1_00061
OG0000050	OQ475017.1_00075	OP009387.1_00079
OG0000051	OQ475017.1_00079	OP009387.1_00083
OG0000052	OQ475017.1_00080	OP009387.1_00084
OG0000053	OQ475017.1_00092	OP009387.1_00094
OG0000054	OQ475017.1_00094	OP009387.1_00096
OG0000055	OQ475017.1_00097	OP009387.1_00099
OG0000056	OQ475017.1_00109	OP009387.1_00111
OG0000057	OQ475017.1_00114	OP009387.1_00115
OG0000058	OQ475017.1_00116	OP009387.1_00117
OG0000059	OQ475017.1_00002	OP009387.1_00002
OG0000060	OQ475017.1_00010	OP009387.1_00010
OG0000061	OQ475017.1_00018	OP009387.1_00018
OG0000062	OQ475017.1_00088	OP009387.1_00092
OG0000063	OQ475017.1_00070	OP009387.1_00072
OG0000064	OQ475017.1_00017	OP009387.1_00017
OG0000065	OQ475017.1_00038	OP009387.1_00038
OG0000066	OQ475017.1_00042	OP009387.1_00042
OG0000067	OQ475017.1_00046	OP009387.1_00046
OG0000068	OQ475017.1_00065	OP009387.1_00067
OG0000069	OQ475017.1_00096	OP009387.1_00098
OG0000070	OQ475017.1_00098	OP009387.1_00100
OG0000071	OQ475017.1_00113	OP009387.1_00114
OG0000072	OQ475017.1_00009	OP009387.1_00009
OG0000073	OQ475017.1_00012	OP009387.1_00012
OG0000074	OQ475017.1_00016	OP009387.1_00016
OG0000075	OQ475017.1_00034	OP009387.1_00034
OG0000076	OQ475017.1_00037	OP009387.1_00037
OG0000077	OQ475017.1_00040	OP009387.1_00040
OG0000078	OQ475017.1_00041	OP009387.1_00041
OG0000079	OQ475017.1_00045	OP009387.1_00045
OG0000080	OQ475017.1_00050	OP009387.1_00051
OG0000081	OQ475017.1_00051	OP009387.1_00052
OG0000082	OQ475017.1_00052	OP009387.1_00053
OG0000083	OQ475017.1_00061	OP009387.1_00063
OG0000084	OQ475017.1_00064	OP009387.1_00066
OG0000085	OQ475017.1_00066	OP009387.1_00068
OG0000086	OQ475017.1_00067	OP009387.1_00069
OG0000087	OQ475017.1_00071	OP009387.1_00074
OG0000088	OQ475017.1_00072	OP009387.1_00075
OG0000089	OQ475017.1_00081	OP009387.1_00085
OG0000090	OQ475017.1_00082	OP009387.1_00086
OG0000091	OQ475017.1_00095	OP009387.1_00097
OG0000092	OQ475017.1_00099	OP009387.1_00101
OG0000093	OQ475017.1_00103	OP009387.1_00105
OG0000094	OQ475017.1_00106	OP009387.1_00108
OG0000095	OQ475017.1_00107	OP009387.1_00109
OG0000096	OQ475017.1_00118	OP009387.1_00119
OG0000097	OQ475017.1_00003	OP009387.1_00003
OG0000098	OQ475017.1_00004	OP009387.1_00004
OG0000099	OQ475017.1_00039	OP009387.1_00039
OG0000100	OQ475017.1_00043	OP009387.1_00043
OG0000101	OQ475017.1_00068	OP009387.1_00070
OG0000102	OQ475017.1_00076	OP009387.1_00080
OG0000103	OQ475017.1_00100	OP009387.1_00102
OG0000104	OQ475017.1_00104	OP009387.1_00106
OG0000105	OQ475017.1_00115	OP009387.1_00116
OG0000107	OQ475017.1_00101	OP009387.1_00103
OG0000108	OQ475017.1_00119	OP009387.1_00120
OG0000109	OQ475017.1_00069	OP009387.1_00071
OG0000110	OQ475017.1_00117	OP009387.1_00118
OG0000112	OQ475017.1_00077	OP009387.1_00081
OG0000114	OQ475017.1_00021	OP009387.1_00022
OG0000115	OQ475017.1_00011	OP009387.1_00011
OG0000116	OQ475017.1_00053	OP009387.1_00054
OG0000120	OQ475017.1_00102	OP009387.1_00104
