Orthogroup	NC_005946.1	NC_027778.1
OG0000000	NC_005946.1_00010	NC_027778.1_00083
OG0000001	NC_005946.1_00091	NC_027778.1_00061
OG0000003	NC_005946.1_00053	NC_027778.1_00062
OG0000004	NC_005946.1_00057	NC_027778.1_00068
OG0000005	NC_005946.1_00095	NC_027778.1_00080
OG0000006	NC_005946.1_00042	NC_027778.1_00098
OG0000007	NC_005946.1_00002	NC_027778.1_00032
OG0000008	NC_005946.1_00028	NC_027778.1_00040
OG0000009	NC_005946.1_00092	NC_027778.1_00039
OG0000010	NC_005946.1_00038	NC_027778.1_00106
OG0000011	NC_005946.1_00060	NC_027778.1_00077
OG0000012	NC_005946.1_00083	NC_027778.1_00133
OG0000013	NC_005946.1_00087	NC_027778.1_00132
OG0000014	NC_005946.1_00061	NC_027778.1_00129
OG0000015	NC_005946.1_00022	NC_027778.1_00018
OG0000016	NC_005946.1_00011	NC_027778.1_00111
OG0000017	NC_005946.1_00094	NC_027778.1_00026
OG0000018	NC_005946.1_00082	NC_027778.1_00027
OG0000019	NC_005946.1_00023	NC_027778.1_00043
OG0000020	NC_005946.1_00016	NC_027778.1_00038
OG0000021	NC_005946.1_00021	NC_027778.1_00116
OG0000022	NC_005946.1_00089	NC_027778.1_00003
OG0000023	NC_005946.1_00014	NC_027778.1_00036
OG0000024	NC_005946.1_00086	NC_027778.1_00042
OG0000026	NC_005946.1_00049	NC_027778.1_00029
OG0000027	NC_005946.1_00085	NC_027778.1_00006
OG0000146	NC_005946.1_00052	NC_027778.1_00119
OG0000191	NC_005946.1_00007	NC_027778.1_00055
