Orthogroup	AY532606.1	MG570131.1
OG0000000	AY532606.1_00030	MG570131.1_00031
OG0000001	AY532606.1_00006	MG570131.1_00007, MG570131.1_00008
OG0000002	AY532606.1_00079	MG570131.1_00074
OG0000003	AY532606.1_00007	MG570131.1_00009
OG0000004	AY532606.1_00014	MG570131.1_00016
OG0000005	AY532606.1_00029	MG570131.1_00030
OG0000006	AY532606.1_00078	MG570131.1_00073
OG0000007	AY532606.1_00093	MG570131.1_00087
OG0000008	AY532606.1_00116, AY532606.1_00117	MG570131.1_00108
OG0000009	AY532606.1_00120, AY532606.1_00119	MG570131.1_00110
OG0000010	AY532606.1_00004	MG570131.1_00005
OG0000011	AY532606.1_00020	MG570131.1_00023
OG0000012	AY532606.1_00031	MG570131.1_00032
OG0000013	AY532606.1_00033	MG570131.1_00034
OG0000014	AY532606.1_00035	MG570131.1_00036
OG0000015	AY532606.1_00057	MG570131.1_00057
OG0000016	AY532606.1_00064	MG570131.1_00063
OG0000017	AY532606.1_00088	MG570131.1_00083
OG0000018	AY532606.1_00089	MG570131.1_00084
OG0000019	AY532606.1_00111	MG570131.1_00103
OG0000020	AY532606.1_00125	MG570131.1_00118
OG0000021	AY532606.1_00126	MG570131.1_00119
OG0000023	AY532606.1_00099	MG570131.1_00092
OG0000024	AY532606.1_00114	MG570131.1_00106
OG0000025	AY532606.1_00066, AY532606.1_00065	MG570131.1_00064
OG0000026	AY532606.1_00090	MG570131.1_00085
OG0000027	AY532606.1_00047	MG570131.1_00048
OG0000028	AY532606.1_00005	MG570131.1_00006
OG0000029	AY532606.1_00062	MG570131.1_00061
OG0000030	AY532606.1_00001	MG570131.1_00001
OG0000031	AY532606.1_00083	MG570131.1_00078
OG0000032	AY532606.1_00091	MG570131.1_00086
OG0000033	AY532606.1_00127	MG570131.1_00120
OG0000034	AY532606.1_00012	MG570131.1_00014
OG0000035	AY532606.1_00013	MG570131.1_00015
OG0000036	AY532606.1_00018	MG570131.1_00020
OG0000037	AY532606.1_00019	MG570131.1_00021
OG0000038	AY532606.1_00021	MG570131.1_00024
OG0000039	AY532606.1_00022	MG570131.1_00025
OG0000040	AY532606.1_00032	MG570131.1_00033
OG0000041	AY532606.1_00036	MG570131.1_00037
OG0000042	AY532606.1_00049	MG570131.1_00049
OG0000043	AY532606.1_00050	MG570131.1_00050
OG0000044	AY532606.1_00055	MG570131.1_00055
OG0000045	AY532606.1_00056	MG570131.1_00056
OG0000046	AY532606.1_00058	MG570131.1_00058
OG0000047	AY532606.1_00059	MG570131.1_00059
OG0000048	AY532606.1_00061	MG570131.1_00060
OG0000049	AY532606.1_00080	MG570131.1_00075
OG0000050	AY532606.1_00084	MG570131.1_00079
OG0000051	AY532606.1_00085	MG570131.1_00080
OG0000052	AY532606.1_00097	MG570131.1_00091
OG0000053	AY532606.1_00100	MG570131.1_00093
OG0000054	AY532606.1_00103	MG570131.1_00096
OG0000055	AY532606.1_00115	MG570131.1_00107
OG0000056	AY532606.1_00122	MG570131.1_00112
OG0000057	AY532606.1_00124	MG570131.1_00114
OG0000059	AY532606.1_00009	MG570131.1_00011
OG0000060	AY532606.1_00017	MG570131.1_00019
OG0000061	AY532606.1_00094	MG570131.1_00088
OG0000062	AY532606.1_00026	MG570131.1_00027
OG0000063	AY532606.1_00075	MG570131.1_00070
OG0000064	AY532606.1_00016	MG570131.1_00018
OG0000065	AY532606.1_00038	MG570131.1_00039
OG0000066	AY532606.1_00043	MG570131.1_00043
OG0000067	AY532606.1_00046	MG570131.1_00047
OG0000068	AY532606.1_00069	MG570131.1_00066
OG0000069	AY532606.1_00102	MG570131.1_00095
OG0000070	AY532606.1_00104	MG570131.1_00097
OG0000071	AY532606.1_00121	MG570131.1_00111
OG0000072	AY532606.1_00008	MG570131.1_00010
OG0000073	AY532606.1_00011	MG570131.1_00013
OG0000074	AY532606.1_00015	MG570131.1_00017
OG0000075	AY532606.1_00034	MG570131.1_00035
OG0000076	AY532606.1_00037	MG570131.1_00038
OG0000077	AY532606.1_00040	MG570131.1_00041
OG0000078	AY532606.1_00042	MG570131.1_00042
OG0000079	AY532606.1_00045	MG570131.1_00046
OG0000080	AY532606.1_00051	MG570131.1_00051
OG0000081	AY532606.1_00052	MG570131.1_00052
OG0000082	AY532606.1_00053	MG570131.1_00053
OG0000083	AY532606.1_00063	MG570131.1_00062
OG0000084	AY532606.1_00067	MG570131.1_00065
OG0000085	AY532606.1_00070	MG570131.1_00067
OG0000086	AY532606.1_00071	MG570131.1_00068
OG0000087	AY532606.1_00076	MG570131.1_00071
OG0000088	AY532606.1_00077	MG570131.1_00072
OG0000089	AY532606.1_00086	MG570131.1_00081
OG0000090	AY532606.1_00087	MG570131.1_00082
OG0000091	AY532606.1_00101	MG570131.1_00094
OG0000092	AY532606.1_00105	MG570131.1_00098
OG0000093	AY532606.1_00109	MG570131.1_00101
OG0000094	AY532606.1_00112	MG570131.1_00104
OG0000095	AY532606.1_00113	MG570131.1_00105
OG0000097	AY532606.1_00002	MG570131.1_00003
OG0000098	AY532606.1_00003	MG570131.1_00004
OG0000099	AY532606.1_00039	MG570131.1_00040
OG0000101	AY532606.1_00073	MG570131.1_00069
OG0000102	AY532606.1_00081	MG570131.1_00076
OG0000103	AY532606.1_00106	MG570131.1_00099
OG0000104	AY532606.1_00110	MG570131.1_00102
OG0000105	AY532606.1_00123	MG570131.1_00113
OG0000106	AY532606.1_00028	MG570131.1_00029
OG0000107	AY532606.1_00107	MG570131.1_00100
OG0000111	AY532606.1_00096	MG570131.1_00090
OG0000112	AY532606.1_00082	MG570131.1_00077
OG0000114	AY532606.1_00010	MG570131.1_00012
OG0000115	AY532606.1_00054	MG570131.1_00054
OG0000117	AY532606.1_00095	MG570131.1_00089
OG0000119	AY532606.1_00118	MG570131.1_00109
OG0000126	AY532606.1_00023	MG570131.1_00026
