Orthogroup	BD143114.1	HF920637.1
OG0000000	BD143114.1_00045	HF920637.1_00129, HF920637.1_00164
OG0000001	BD143114.1_00068	HF920637.1_00143
OG0000003	BD143114.1_00067	HF920637.1_00059
OG0000004	BD143114.1_00060	HF920637.1_00159
OG0000005	BD143114.1_00046	HF920637.1_00176, HF920637.1_00175
OG0000006	BD143114.1_00001	HF920637.1_00121
OG0000007	BD143114.1_00109	HF920637.1_00172
OG0000008	BD143114.1_00087	HF920637.1_00025
OG0000009	BD143114.1_00085	HF920637.1_00153
OG0000010	BD143114.1_00070	HF920637.1_00041
OG0000011	BD143114.1_00053	HF920637.1_00001
OG0000012	BD143114.1_00044	HF920637.1_00031
OG0000013	BD143114.1_00042	HF920637.1_00073
OG0000014	BD143114.1_00040	HF920637.1_00213
OG0000015	BD143114.1_00019	HF920637.1_00017
OG0000016	BD143114.1_00013	HF920637.1_00217
OG0000017	BD143114.1_00114	HF920637.1_00197
OG0000018	BD143114.1_00113	HF920637.1_00079
OG0000019	BD143114.1_00092	HF920637.1_00111
OG0000020	BD143114.1_00077	HF920637.1_00108
OG0000021	BD143114.1_00076	HF920637.1_00152
OG0000022	BD143114.1_00031	HF920637.1_00033
OG0000023	BD143114.1_00104	HF920637.1_00221
OG0000024	BD143114.1_00089	HF920637.1_00203
OG0000025	BD143114.1_00012	HF920637.1_00156
OG0000028	BD143114.1_00069	HF920637.1_00127
