Orthogroup	KX643370	GQ273492
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	GQ273492.1_00030 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	GQ273492.1_00008 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	GQ273492.1_00015 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	GQ273492.1_00029 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	GQ273492.1_00110 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	GQ273492.1_00005 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	GQ273492.1_00007 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	GQ273492.1_00022 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	GQ273492.1_00031 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00049 hypothetical protein	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein
OG0000010	Lymph_LDV3_KX643370_00044 hypothetical protein	GQ273492.1_00056 hypothetical protein
OG0000011	Lymph_LDV3_KX643370_00094 hypothetical protein	GQ273492.1_00063 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00075 hypothetical protein	GQ273492.1_00083 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00061 hypothetical protein	GQ273492.1_00087 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00095 hypothetical protein	GQ273492.1_00103 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00056 hypothetical protein	GQ273492.1_00118 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00091 hypothetical protein	GQ273492.1_00119 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000018	Lymph_LDV3_KX643370_00040 hypothetical protein	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	GQ273492.1_00073 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	GQ273492.1_00084 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	GQ273492.1_00092 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	GQ273492.1_00108 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00089 hypothetical protein	GQ273492.1_00044 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	GQ273492.1_00085 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	GQ273492.1_00106 hypothetical protein
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	GQ273492.1_00047 hypothetical protein
