Orthogroup	NC_027778.1	AY521625.1
OG0000000	NC_027778.1_00083	AY521625.1_00091
OG0000001	NC_027778.1_00062	AY521625.1_00077
OG0000002	NC_027778.1_00061	AY521625.1_00064
OG0000003	NC_027778.1_00068	AY521625.1_00130
OG0000004	NC_027778.1_00040	AY521625.1_00069, AY521625.1_00070
OG0000005	NC_027778.1_00036	AY521625.1_00100
OG0000006	NC_027778.1_00098	AY521625.1_00051
OG0000007	NC_027778.1_00032	AY521625.1_00016
OG0000008	NC_027778.1_00080	AY521625.1_00085
OG0000009	NC_027778.1_00039	AY521625.1_00142
OG0000011	NC_027778.1_00111	AY521625.1_00053
OG0000012	NC_027778.1_00077	AY521625.1_00110
OG0000013	NC_027778.1_00018	AY521625.1_00048
OG0000014	NC_027778.1_00038	AY521625.1_00115
OG0000015	NC_027778.1_00116	AY521625.1_00035
OG0000016	NC_027778.1_00027	AY521625.1_00073
OG0000017	NC_027778.1_00132	AY521625.1_00059
OG0000018	NC_027778.1_00043	AY521625.1_00047
OG0000019	NC_027778.1_00026	AY521625.1_00086
OG0000020	NC_027778.1_00133	AY521625.1_00074
OG0000021	NC_027778.1_00106	AY521625.1_00054
OG0000022	NC_027778.1_00129	AY521625.1_00065
OG0000023	NC_027778.1_00003	AY521625.1_00062
OG0000024	NC_027778.1_00054	AY521625.1_00042
OG0000026	NC_027778.1_00042	AY521625.1_00060
OG0000027	NC_027778.1_00029	AY521625.1_00022
OG0000030	NC_027778.1_00088	AY521625.1_00004
OG0000141	NC_027778.1_00130, NC_027778.1_00050	AY521625.1_00046
OG0000151	NC_027778.1_00119	AY521625.1_00002
