Orthogroup	Daphi_LS484712.1	Lymph_LCD4_MN803438.1
OG0000000	Daphi_LS484712.1_00114	Lymph_LCD4_MN803438.1_00124
OG0000001	Daphi_LS484712.1_00142	Lymph_LCD4_MN803438.1_00023
OG0000002	Daphi_LS484712.1_00095	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	Daphi_LS484712.1_00187	Lymph_LCD4_MN803438.1_00113
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Lymph_LCD4_MN803438.1_00027
OG0000006	Daphi_LS484712.1_00248	Lymph_LCD4_MN803438.1_00106
OG0000007	Daphi_LS484712.1_00040	Lymph_LCD4_MN803438.1_00142
OG0000008	Daphi_LS484712.1_00130	Lymph_LCD4_MN803438.1_00109
OG0000009	Daphi_LS484712.1_00256	Lymph_LCD4_MN803438.1_00071
OG0000011	Daphi_LS484712.1_00192	Lymph_LCD4_MN803438.1_00097
OG0000012	Daphi_LS484712.1_00194	Lymph_LCD4_MN803438.1_00013
OG0000013	Daphi_LS484712.1_00053	Lymph_LCD4_MN803438.1_00051
OG0000014	Daphi_LS484712.1_00048	Lymph_LCD4_MN803438.1_00122
OG0000015	Daphi_LS484712.1_00188	Lymph_LCD4_MN803438.1_00068
OG0000016	Daphi_LS484712.1_00200	Lymph_LCD4_MN803438.1_00128
OG0000017	Daphi_LS484712.1_00143	Lymph_LCD4_MN803438.1_00007
OG0000018	Daphi_LS484712.1_00202	Lymph_LCD4_MN803438.1_00070
OG0000019	Daphi_LS484712.1_00203	Lymph_LCD4_MN803438.1_00049
OG0000020	Daphi_LS484712.1_00135	Lymph_LCD4_MN803438.1_00046
OG0000021	Daphi_LS484712.1_00240	Lymph_LCD4_MN803438.1_00035
OG0000022	Daphi_LS484712.1_00096	Lymph_LCD4_MN803438.1_00089
OG0000023	Daphi_LS484712.1_00117	Lymph_LCD4_MN803438.1_00077
OG0000024	Daphi_LS484712.1_00149	Lymph_LCD4_MN803438.1_00024
OG0000133	Daphi_LS484712.1_00197	Lymph_LCD4_MN803438.1_00006
OG0000134	Daphi_LS484712.1_00057	Lymph_LCD4_MN803438.1_00115
OG0000137	Daphi_LS484712.1_00251	Lymph_LCD4_MN803438.1_00105
OG0000138	Daphi_LS484712.1_00063	Lymph_LCD4_MN803438.1_00137
